From Timestep,To Timestep,Population Regression Rate,Conditional Regression Rate,Correct Samples at From Timestep,Conditional Metric Valid
1,2,2.8899998664855957,4.166065692901611,6937,True
2,3,3.5199999809265137,4.203989028930664,8373,True
3,4,0.2800000011920929,0.33269962668418884,8416,True
4,5,0.2800000011920929,0.307726114988327,9099,True
5,6,0.75,0.7883948087692261,9513,True
6,7,0.27000001072883606,0.28222012519836426,9567,True
7,8,0.48000001907348633,0.4952027499675751,9693,True
