individual_seed_values,mean,method,metric,sample_standard_deviation,valid_seed_count
"[98.88999938964844, 98.77999877929688, 98.97999572753906]",98.88333129882812,final_ce,final_accuracy,0.10016507576464967,3
"[95.13375091552734, 93.64500427246094, 92.76625061035156]",93.84833526611328,final_ce,mean_prefix_accuracy,1.1967756863700865,3
"[82.52000427246094, 75.2699966430664, 71.4800033569336]",76.42333475748698,final_ce,minimum_prefix_accuracy,5.6096387279701485,3
"[2.4642930030822754, 1.9623630046844482, 1.9923524856567383]",2.139669497807821,final_ce,ever_regressed_fraction,0.28153180526319277,3
"[0.35857143998146057, 0.28857141733169556, 0.28999999165534973]",0.31238094965616864,final_ce,mean_population_regression,0.04000851476270668,3
"[0.37905099987983704, 0.31058764457702637, 0.31563401222229004]",0.33509088555971783,final_ce,mean_conditional_regression,0.03815409800901148,3
"[251.0, 202.0, 203.0]",218.66666666666666,final_ce,correct_to_wrong_transition_count,28.005951748393294,3
"[0.35857143998146057, 0.28857141733169556, 0.28999999165534973]",0.31238094965616864,final_ce,destructive_transition_fraction,0.04000851476270668,3
"[95.76446533203125, 96.47103881835938, 97.25752258300781]",96.49767557779948,final_ce,ever_recovered_fraction,0.7468849485620426,3
"[1888.0, 2553.0, 2953.0]",2464.6666666666665,final_ce,wrong_to_correct_transition_count,537.9668515190627,3
"[2.6971428394317627, 3.6471431255340576, 4.218571186065674]",3.5209523836771646,final_ce,beneficial_transition_fraction,0.7685239950600722,3
"[1.3537263870239258, 1.4595059156417847, 1.5360678434371948]",1.449766715367635,final_ce,mean_stable_correct_timestep,0.09156003876262298,3
"[96.8500018119812, 96.21000289916992, 96.34000062942505]",96.46666844685872,final_ce,stable_by_t4_fraction,0.33827977190479924,3
"[98.33999872207642, 98.18999767303467, 98.19999933242798]",98.24333190917969,final_ce,stable_by_t6_fraction,0.08386514671997712,3
"[1.1099999770522118, 1.2199999764561653, 1.0200000368058681]",1.1166666634380817,final_ce,never_stable_fraction,0.10016649886841551,3
"[98.97999572753906, 98.88999938964844, 98.97000122070312]",98.94666544596355,symmetric_kl,final_accuracy,0.049328024443041685,3
"[98.63375091552734, 98.52999877929688, 98.55249786376953]",98.57208251953125,symmetric_kl,mean_prefix_accuracy,0.054578342765928725,3
"[97.81999969482422, 97.7699966430664, 97.95999908447266]",97.8499984741211,symmetric_kl,minimum_prefix_accuracy,0.09848947661837192,3
"[0.9758551716804504, 1.1469966173171997, 1.0562317371368408]",1.059694508711497,symmetric_kl,ever_regressed_fraction,0.08562325439909876,3
"[0.14571428298950195, 0.1728571504354477, 0.15714286267757416]",0.1585714320341746,symmetric_kl,mean_population_regression,0.013627707844755428,3
"[0.1478068083524704, 0.1755276620388031, 0.15954746305942535]",0.16096064448356628,symmetric_kl,mean_conditional_regression,0.013914353868502809,3
"[102.0, 121.0, 110.0]",111.0,symmetric_kl,correct_to_wrong_transition_count,9.539392014169456,3
"[0.14571428298950195, 0.1728571504354477, 0.15714286267757416]",0.1585714320341746,symmetric_kl,destructive_transition_fraction,0.013627707844755428,3
"[71.2802734375, 70.79365539550781, 69.20415496826172]",70.42602793375652,symmetric_kl,ever_recovered_fraction,1.0857851709953286,3
"[218.0, 233.0, 211.0]",220.66666666666666,symmetric_kl,wrong_to_correct_transition_count,11.239810200058244,3
"[0.31142857670783997, 0.3328571319580078, 0.30142858624458313]",0.315238098303477,symmetric_kl,beneficial_transition_fraction,0.016056858737185327,3
"[1.0559709072113037, 1.0615835189819336, 1.0602202415466309]",1.059258222579956,symmetric_kl,mean_stable_correct_timestep,0.0029273645299372647,3
"[98.29999804496765, 98.11999797821045, 98.24000000953674]",98.21999867757161,symmetric_kl,stable_by_t4_fraction,0.09165176467713955,3
"[98.61999750137329, 98.580002784729, 98.6299991607666]",98.60999981562297,symmetric_kl,stable_by_t6_fraction,0.026455144953201705,3
"[1.0200000368058681, 1.1099999770522118, 1.0300000198185444]",1.0533333445588748,symmetric_kl,never_stable_fraction,0.04932879831968989,3
"[98.80999755859375, 98.83000183105469, 99.0]",98.87999979654948,selective_regression_thr0.6,final_accuracy,0.10440344510741803,3
"[87.93000030517578, 90.03375244140625, 89.54875183105469]",89.17083485921223,selective_regression_thr0.6,mean_prefix_accuracy,1.1016166260902607,3
"[56.19999694824219, 61.06999969482422, 57.209999084472656]",58.15999857584635,selective_regression_thr0.6,minimum_prefix_accuracy,2.570234612469618,3
"[0.6655909419059753, 0.9164149165153503, 0.7946087121963501]",0.7922048568725586,selective_regression_thr0.6,ever_regressed_fraction,0.12542926472727323,3
"[0.09714286029338837, 0.13857142627239227, 0.11428571492433548]",0.11666666716337204,selective_regression_thr0.6,mean_population_regression,0.02081665727110383,3
"[0.11246547847986221, 0.15608908236026764, 0.12957774102687836]",0.13271076728900275,selective_regression_thr0.6,mean_conditional_regression,0.02197991342221351,3
"[68.0, 97.0, 80.0]",81.66666666666667,selective_regression_thr0.6,correct_to_wrong_transition_count,14.571661996262929,3
"[0.09714286029338837, 0.13857142627239227, 0.11428571492433548]",0.11666666716337204,selective_regression_thr0.6,destructive_transition_fraction,0.02081665727110383,3
"[97.77979278564453, 97.69035339355469, 98.30940246582031]",97.92651621500652,selective_regression_thr0.6,ever_recovered_fraction,0.3345911863917481,3
"[4329.0, 3873.0, 4259.0]",4153.666666666667,selective_regression_thr0.6,wrong_to_correct_transition_count,245.57144242222736,3
"[6.184286117553711, 5.5328569412231445, 6.084285736083984]",5.933809598286946,selective_regression_thr0.6,beneficial_transition_fraction,0.35081661018032606,3
"[1.899200439453125, 1.7371243238449097, 1.7834343910217285]",1.8065863847732544,selective_regression_thr0.6,mean_stable_correct_timestep,0.0834816023065257,3
"[92.97999739646912, 95.1799988746643, 95.85000276565552]",94.66999967892964,selective_regression_thr0.6,stable_by_t4_fraction,1.5014350100910772,3
