epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,2.2767739377867433,2.2767739377867433,0.0,0.0,0.026323862173209728,1.0,0.0,0.0,0.0,0.0,15.227483764996435,0.0,29.545454545454547,29.545454545454547,29.545454545454547,0.05228193284887256,0.05228193284887256,0.05228193284887256,3.0,3.0,3.0,3.0,3.0,3.0,0.15684579854661768,0.15684579854661768,3.0,0.15684579854661768
2,1.4169377425033514,1.4169377425033514,0.0,0.0,0.05598391618790622,1.0,0.0,0.0,0.0,0.0,49.48932221894366,0.0,58.333333333333336,58.333333333333336,58.333333333333336,0.06964181182962476,0.06964181182962476,0.06964181182962476,3.0,3.0,3.0,3.0,3.0,3.0,0.20892543548887427,0.20892543548887427,3.0,0.20892543548887427
3,1.0603642495229715,1.0603642495229715,0.0,0.0,0.0658608439240947,1.0,0.0,0.0,0.0,0.0,59.610027888359134,0.0,58.333333333333336,58.333333333333336,58.333333333333336,0.07709573209285736,0.07709573209285736,0.07709573209285736,3.0,3.0,3.0,3.0,3.0,3.0,0.23128719627857208,0.23128719627857208,3.0,0.23128719627857208
4,0.9179927804675939,0.9179927804675939,0.0,0.0,0.06843894172179665,1.0,0.0,0.0,0.0,0.0,62.58124424111766,0.0,64.77272727272727,64.77272727272727,64.77272727272727,0.08232746769984563,0.08232746769984563,0.08232746769984563,3.0,3.0,3.0,3.0,3.0,3.0,0.2469824030995369,0.2469824030995369,3.0,0.2469824030995369
5,0.8160642088843144,0.8160642088843144,0.0,0.0,0.07293100454459726,1.0,0.0,0.0,0.0,0.0,68.0594243766427,0.0,69.31818181818181,69.31818181818181,69.31818181818181,0.08040498693784077,0.08040498693784077,0.08040498693784077,3.0,3.0,3.0,3.0,3.0,3.0,0.24121496081352234,0.24121496081352234,3.0,0.24121496081352234
6,0.7707261433729775,0.7707261433729775,0.0,0.0,0.07389934968372795,1.0,0.0,0.0,0.0,0.0,70.56638816494353,0.0,67.8030303030303,67.8030303030303,67.8030303030303,0.08274623119469846,0.08274623119469846,0.08274623119469846,3.0,3.0,3.0,3.0,3.0,3.0,0.24823869358409534,0.24823869358409534,3.0,0.24823869358409534
7,0.7456981349899022,0.7456981349899022,0.0,0.0,0.07243688613480734,1.0,0.0,0.0,0.0,0.0,70.19498610009501,0.0,65.9090909090909,65.9090909090909,65.9090909090909,0.08320792335452455,0.08320792335452455,0.08320792335452455,3.0,3.0,3.0,3.0,3.0,3.0,0.24962377006357367,0.24962377006357367,3.0,0.24962377006357367
8,0.732822211782691,0.732822211782691,0.0,0.0,0.07507482898821959,1.0,0.0,0.0,0.0,0.0,70.9377901910518,0.0,67.04545454545455,67.04545454545455,67.04545454545455,0.0832327629129092,0.0832327629129092,0.0832327629129092,3.0,3.0,3.0,3.0,3.0,3.0,0.24969828873872757,0.24969828873872757,3.0,0.24969828873872757
9,0.6638460716054522,0.6638460716054522,0.0,0.0,0.07478501117107707,1.0,0.0,0.0,0.0,0.0,74.00185701298072,0.0,68.56060606060606,68.56060606060606,68.56060606060606,0.08803432547684872,0.08803432547684872,0.08803432547684872,3.0,3.0,3.0,3.0,3.0,3.0,0.26410297643054614,0.26410297643054614,3.0,0.26410297643054614
10,0.6543836082256604,0.6543836082256604,0.0,0.0,0.07600344743790623,1.0,0.0,0.0,0.0,0.0,74.6518106070955,0.0,63.63636363636363,63.63636363636363,63.63636363636363,0.08786163433934703,0.08786163433934703,0.08786163433934703,3.0,3.0,3.0,3.0,3.0,3.0,0.2635849030180411,0.2635849030180411,3.0,0.2635849030180411
