epoch,train_loss,train_ce_loss,train_spike_cost,train_raw_spike_rate,train_gated_spike_rate,train_time_cost,train_acc,test_acc,test_spike_rate,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,energy_proxy,prefix_energy_proxy
1,1.5501181693077088,1.5388847311973572,0.12334561093648275,0.12334561093648275,0.12334561093648275,1.0,57.34333331743876,50.49999952316284,0.4435034543991089,0.4435034543991089,0.4435034543991089,0.4435034543991089,8.0,8.0,3.548027635192871,3.548027635192871
2,0.8139384353955587,0.7892638065338135,0.2337320801417033,0.2337320801417033,0.2337320801417033,1.0,72.70166664441426,74.09999985694886,0.3467869592666626,0.3467869592666626,0.3467869592666626,0.3467869592666626,8.0,8.0,2.7742956741333007,2.7742956741333007
3,0.6642644454320272,0.6256411316553752,0.28744483313560487,0.28744483313560487,0.28744483313560487,1.0,77.47333333969117,78.88000019073486,0.3534018246650696,0.3534018246650696,0.3534018246650696,0.3534018246650696,8.0,8.0,2.8272145973205567,2.8272145973205567
4,0.6012622620264689,0.5492397425015767,0.3005624879519145,0.3005624879519145,0.3005624879519145,1.0,80.22500001271565,79.62000015258789,0.3652820508480072,0.3652820508480072,0.3652820508480072,0.3652820508480072,8.0,8.0,2.9222564067840575,2.9222564067840575
5,0.5955115242640178,0.5311540998140971,0.2871483738899231,0.2871483738899231,0.2871483738899231,1.0,80.62500002861023,79.55000047683716,0.365817937707901,0.365817937707901,0.365817937707901,0.365817937707901,8.0,8.0,2.926543501663208,2.926543501663208
6,0.569625334183375,0.5048991830190023,0.2945227649370829,0.2945227649370829,0.2945227649370829,1.0,81.8783333683014,81.97999959945679,0.32999301109313967,0.32999301109313967,0.32999301109313967,0.32999301109313967,8.0,8.0,2.6399440887451173,2.6399440887451173
7,0.5365876122792562,0.47162852929433186,0.29918150299390156,0.29918150299390156,0.29918150299390156,1.0,83.3416666952769,82.25999956130981,0.4251477782249451,0.4251477782249451,0.4251477782249451,0.4251477782249451,8.0,8.0,3.4011822257995608,3.4011822257995608
8,0.5106558926900228,0.44450341299374896,0.32304958868026734,0.32304958868026734,0.32304958868026734,1.0,83.95166666984558,83.70999962806701,0.34570623531341554,0.34570623531341554,0.34570623531341554,0.34570623531341554,8.0,8.0,2.7656498825073244,2.7656498825073244
9,0.5102658731460571,0.4446773110548655,0.311771088663737,0.311771088663737,0.311771088663737,1.0,84.17833331743876,83.2900004196167,0.3391450716495514,0.3391450716495514,0.3391450716495514,0.3391450716495514,8.0,8.0,2.713160573196411,2.713160573196411
10,0.4945834111849467,0.42864199832280475,0.31882809178034466,0.31882809178034466,0.31882809178034466,1.0,84.60333335876464,84.61999955177308,0.33642395572662354,0.33642395572662354,0.33642395572662354,0.33642395572662354,8.0,8.0,2.6913916458129883,2.6913916458129883
11,0.4834149966239929,0.4166930654366811,0.3344384645620982,0.3344384645620982,0.3344384645620982,1.0,85.03999998728435,84.6399997997284,0.3356832084655762,0.3356832084655762,0.3356832084655762,0.3356832084655762,8.0,8.0,2.6854656677246096,2.6854656677246096
12,0.4627038570086161,0.39694844652811684,0.3151079398473104,0.3151079398473104,0.3151079398473104,1.0,85.74833332379659,85.59999990463257,0.3344882613182068,0.3344882613182068,0.3344882613182068,0.3344882613182068,8.0,8.0,2.6759060905456544,2.6759060905456544
13,0.44903245479265846,0.3827506214141846,0.3256364305973053,0.3256364305973053,0.3256364305973053,1.0,86.48166665712992,85.4599995803833,0.341448206615448,0.341448206615448,0.341448206615448,0.341448206615448,8.0,8.0,2.731585652923584,2.731585652923584
14,0.4509199684778849,0.3854687740325928,0.30902370287577313,0.30902370287577313,0.30902370287577313,1.0,86.44833336830139,86.09000033378601,0.34088556723594665,0.34088556723594665,0.34088556723594665,0.34088556723594665,8.0,8.0,2.727084537887573,2.727084537887573
15,0.45236802819569905,0.38596451438268026,0.3280700115998586,0.3280700115998586,0.3280700115998586,1.0,86.11999998092651,86.52000000953674,0.33608596048355105,0.33608596048355105,0.33608596048355105,0.33608596048355105,8.0,8.0,2.6886876838684084,2.6886876838684084
16,0.4347852814674377,0.3694650008360545,0.30640541100502017,0.30640541100502017,0.30640541100502017,1.0,87.04666665712992,86.6999996471405,0.34237674918174743,0.34237674918174743,0.34237674918174743,0.34237674918174743,8.0,8.0,2.7390139934539794,2.7390139934539794
17,0.43854648478825886,0.37159488010406494,0.3390318880081177,0.3390318880081177,0.3390318880081177,1.0,86.77166669845582,83.8899994468689,0.3287390403747559,0.3287390403747559,0.3287390403747559,0.3287390403747559,8.0,8.0,2.629912322998047,2.629912322998047
18,0.4401036667664846,0.3755452681541443,0.29116772310733796,0.29116772310733796,0.29116772310733796,1.0,86.54166664441426,86.55000011444092,0.33566133069992066,0.33566133069992066,0.33566133069992066,0.33566133069992066,8.0,8.0,2.6852906455993653,2.6852906455993653
19,0.4197031777858734,0.3531064722220103,0.3319338705221812,0.3319338705221812,0.3319338705221812,1.0,87.4599999777476,87.31999989509582,0.32545676193237305,0.32545676193237305,0.32545676193237305,0.32545676193237305,8.0,8.0,2.6036540954589844,2.6036540954589844
20,0.4146907986799876,0.3491290568033854,0.3112346271832784,0.3112346271832784,0.3112346271832784,1.0,87.7550000222524,87.81000018119812,0.3297605318546295,0.3297605318546295,0.3297605318546295,0.3297605318546295,8.0,8.0,2.638084254837036,2.638084254837036
