epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,0.9601177254835764,0.9601177254835764,0.0,0.0,0.08824187418619792,0.75,0.0,0.0,0.0,0.0,68.265,0.0,90.01,90.01,0.0,0.12110530065298081,0.12110530065298081,0.12110530065298081,6.0,6.0,6.0,6.0,6.0,6.0,0.7266318039178848,0.7266318039178848,6.0,0.7266318039178848
2,0.2631071025490761,0.2631071025490761,0.0,0.0,0.1212546875,0.75,0.0,0.0,0.0,0.0,92.46000000317892,0.0,94.45,94.45,0.0,0.12439430167675018,0.12439430167675018,0.12439430167675018,6.0,6.0,6.0,6.0,6.0,6.0,0.7463658100605011,0.7463658100605011,6.0,0.7463658100605011
3,0.18032299692630768,0.18032299692630768,0.0,0.0,0.12307535807291667,0.75,0.0,0.0,0.0,0.0,94.8166666730245,0.0,95.78,95.78,0.0,0.12361398723125458,0.12361398723125458,0.12361398723125458,6.0,6.0,6.0,6.0,6.0,6.0,0.7416839233875274,0.7416839233875274,6.0,0.7416839233875274
4,0.14293692768414815,0.14293692768414815,0.0,0.0,0.12369912109375,0.75,0.0,0.0,0.0,0.0,95.75666666984559,0.0,96.29,96.29,0.0,0.1259847987174988,0.1259847987174988,0.1259847987174988,6.0,6.0,6.0,6.0,6.0,6.0,0.7559087923049926,0.7559087923049926,6.0,0.7559087923049926
5,0.12266478442748388,0.12266478442748388,0.0,0.0,0.12498219401041667,0.75,0.0,0.0,0.0,0.0,96.3366666730245,0.0,96.84,96.84,0.0,0.12703514465093613,0.12703514465093613,0.12703514465093613,6.0,6.0,6.0,6.0,6.0,6.0,0.7622108679056168,0.7622108679056168,6.0,0.7622108679056168
6,0.10996880433559418,0.10996880433559418,0.0,0.0,0.12519635416666666,0.75,0.0,0.0,0.0,0.0,96.66833333333334,0.0,97.08,97.08,0.0,0.12681766843795778,0.12681766843795778,0.12681766843795778,6.0,6.0,6.0,6.0,6.0,6.0,0.7609060106277465,0.7609060106277465,6.0,0.7609060106277465
7,0.1010785347779592,0.1010785347779592,0.0,0.0,0.12567688802083332,0.75,0.0,0.0,0.0,0.0,97.00000000317891,0.0,97.21,97.21,0.0,0.12670807478427887,0.12670807478427887,0.12670807478427887,6.0,6.0,6.0,6.0,6.0,6.0,0.7602484487056732,0.7602484487056732,6.0,0.7602484487056732
8,0.09404640761613846,0.09404640761613846,0.0,0.0,0.12606783854166667,0.75,0.0,0.0,0.0,0.0,97.15166666666667,0.0,97.24,97.24,0.0,0.12944777660369874,0.12944777660369874,0.12944777660369874,6.0,6.0,6.0,6.0,6.0,6.0,0.7766866596221924,0.7766866596221924,6.0,0.7766866596221924
9,0.08807175406018893,0.08807175406018893,0.0,0.0,0.12599947916666668,0.75,0.0,0.0,0.0,0.0,97.26666666984558,0.0,97.33,97.33,0.0,0.12940214824676513,0.12940214824676513,0.12940214824676513,6.0,6.0,6.0,6.0,6.0,6.0,0.7764128894805908,0.7764128894805908,6.0,0.7764128894805908
10,0.0833385814110438,0.0833385814110438,0.0,0.0,0.12675494791666667,0.75,0.0,0.0,0.0,0.0,97.55333333651225,0.0,97.39,97.39,0.0,0.12827786376476288,0.12827786376476288,0.12827786376476288,6.0,6.0,6.0,6.0,6.0,6.0,0.7696671825885772,0.7696671825885772,6.0,0.7696671825885772
