From Timestep,To Timestep,Population Regression Rate,Conditional Regression Rate,Correct Samples at From Timestep,Conditional Metric Valid
1,2,4.545454502105713,8.95522403717041,134,True
2,3,5.68181848526001,9.090909004211426,165,True
3,4,2.2727272510528564,3.488372325897217,172,True
4,5,1.1363636255264282,1.6759777069091797,179,True
5,6,1.89393949508667,2.659574508666992,188,True
6,7,1.5151515007019043,2.1164021492004395,189,True
7,8,0.7575757503509521,1.0582010746002197,189,True
