Confidence Bin,Lower Bound,Upper Bound,Number of Prefix Predictions,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
"[0.00, 0.50)",0.0,0.5,1919,26.680561900138855,50.44293999671936,9.379885345697403,13.496613502502441
"[0.50, 0.60)",0.5,0.6,2729,40.381091833114624,39.13521468639374,10.773176699876785,9.710516780614853
"[0.60, 0.70)",0.6,0.7,2917,52.27974057197571,31.436407566070557,7.33630433678627,8.947549015283585
"[0.70, 0.80)",0.7,0.8,3533,64.67591524124146,23.06821346282959,6.0005661100149155,6.255307048559189
"[0.80, 0.90)",0.8,0.9,5595,77.47989296913147,14.477211236953735,3.9678283035755157,4.075067117810249
"[0.90, 0.95)",0.9,0.95,5940,87.77777552604675,7.592592388391495,1.8855219706892967,2.7441076934337616
"[0.95, 0.99)",0.95,0.99,15059,95.16568183898926,2.908559702336788,0.8367089554667473,1.089049782603979
"[0.99, 1.00]",0.99,1.0,42308,99.47527647018433,0.25999811477959156,0.07563581457361579,0.18908953061327338
