From Timestep,To Timestep,Population Regression Rate,Conditional Regression Rate,Correct Samples at From Timestep,Conditional Metric Valid
1,2,4.1666669845581055,6.7484660148620605,163,True
2,3,4.545454502105713,6.6666669845581055,180,True
3,4,3.0303030014038086,4.34782600402832,184,True
4,5,1.5151515007019043,2.1505377292633057,186,True
5,6,1.89393949508667,2.6178009510040283,191,True
6,7,1.5151515007019043,2.09424090385437,191,True
7,8,1.1363636255264282,1.5706804990768433,191,True
