epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,3.2497712826441036,2.1649732149189673,2.1343105056270364,0.04888252604721648,0.013507697796976555,0.5861087101083612,0.5879198934817159,0.08791989348171592,0.0,4.703359147853727,21.44846798040962,21.44846798040962,46.21212121212121,49.621212121212125,46.21212121212121,0.05297765045455008,0.03204381138537869,0.07449937137690457,4.677031517028809,5.0,4.648170471191406,4.705892086029053,5.0,5.0,0.14986991577514272,0.3724968568845229,5.0,0.3724968568845229
2,1.9405366657172074,1.2720136134958755,1.2672370262132713,0.09173080913840119,0.031906963833638,0.583901953841097,0.5853815948730724,0.08538159487307238,0.0,4.683052758984579,54.87465183825657,52.55338908791431,56.43939393939394,56.06060606060606,56.43939393939394,0.0648089475703962,0.039007304179849045,0.08431973556677501,4.664423942565918,5.0,4.558826446533203,4.770021438598633,5.0,5.0,0.1819466035514395,0.421598677833875,5.0,0.421598677833875
3,1.622911263751895,1.0513309204368095,1.0495041883312781,0.0833713901933964,0.034961980254758586,0.5818896568142493,0.5830927304681408,0.08309273046814078,0.0,4.6647418437451265,59.238625845647896,59.61002789389345,56.43939393939394,55.303030303030305,56.43939393939394,0.06789584954579671,0.040504850785840645,0.08844548463821411,4.6437835693359375,4.0,4.486210346221924,4.801357269287109,4.0,4.0,0.18809576055769062,0.35378193855285645,4.0,0.35378193855285645
4,1.4531640055673258,0.9330728627402359,0.9206040323942817,0.0882654577327638,0.03629602628830084,0.5787415672698947,0.5795136750463877,0.0795136750463877,0.0,4.636109400371102,62.30269270354991,62.02414117151648,62.121212121212125,64.39393939393939,62.121212121212125,0.07420589978044684,0.04403798214413903,0.09617802952275131,4.615377426147461,4.0,4.419983386993408,4.8107709884643555,4.0,4.0,0.20325190868114423,0.38471211809100525,4.0,0.38471211809100525
5,1.2424153327499148,0.7788006326282256,0.7847746363810731,0.07985908871545987,0.03948818762875755,0.5749298901389679,0.5752059055238049,0.0752059055238049,0.0,4.601647244190439,68.52367692449741,67.31662029675455,63.25757575757576,63.63636363636363,63.25757575757576,0.07731653975717949,0.04571651035186016,0.10046419230374423,4.580868721008301,4.0,4.337920188903809,4.823817729949951,4.0,4.0,0.2094213323044884,0.4018567692149769,4.0,0.4018567692149769
6,1.1651695559394504,0.7357571848366364,0.7196271863377748,0.0707512030701396,0.03916572705395485,0.5705917395146334,0.5703581480816103,0.07035814808161035,0.0,4.562865184652883,71.58774378239943,71.30919224483168,68.93939393939394,68.93939393939394,68.93939393939394,0.07843179413766573,0.04604012270768484,0.10147779096256603,4.546507358551025,4.0,4.263794898986816,4.829219818115234,4.0,4.0,0.20932175667908126,0.4059111638502641,4.0,0.4059111638502641
7,1.0815784449696872,0.6800873380296188,0.6666617964635653,0.06349198688288585,0.039878002226961466,0.5659550708427181,0.5651925847612272,0.0651925847612273,0.0,4.521540678089818,73.6304549896396,73.16620242518192,65.9090909090909,68.18181818181819,65.9090909090909,0.07819578503117416,0.04552511329000646,0.10125515497092044,4.507594108581543,4.0,4.190853595733643,4.824335098266602,4.0,4.0,0.20520873245854043,0.40502061988368177,4.0,0.40502061988368177
8,1.0616626045498012,0.6607944099794634,0.6664640304659292,0.06578328208989198,0.04030649509270543,0.5611458009553376,0.5598519587251137,0.05985195872511372,0.0,4.47881566980091,73.81615602206386,74.37325908613072,65.9090909090909,67.42424242424242,65.9090909090909,0.08000382239168341,0.046333801565748275,0.10418388879660404,4.469485282897949,4.0,4.125422954559326,4.813547611236572,4.0,4.0,0.20708824419882585,0.41673555518641614,4.0,0.41673555518641614
9,0.9514240002122983,0.5984703307364312,0.573448131232762,0.059879735388906334,0.03967441002749245,0.5562540543444642,0.5544528319200323,0.05445283192003227,0.0,4.435622655360258,77.80872799781261,77.06592391239013,67.8030303030303,67.8030303030303,67.8030303030303,0.0819770639592951,0.04717485764712998,0.10783966201724428,4.430478572845459,4.0,4.056887149810791,4.804069995880127,4.0,4.0,0.20900719598264414,0.4313586480689771,4.0,0.4313586480689771
10,0.926281171422815,0.5771019290250656,0.5668817064556239,0.062015690801867536,0.04081418631579329,0.5514834352190449,0.5492182889799332,0.04921828897993323,0.0,4.3937463118394655,76.60167132026085,76.69452183093865,64.01515151515152,65.9090909090909,64.01515151515152,0.0804533940373045,0.04592762277884917,0.10609912872314453,4.392086505889893,4.0,3.992600440979004,4.791572570800781,4.0,4.0,0.20171809225458467,0.4243965148925781,4.0,0.4243965148925781
