epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.2509614705403647,1.2509614705403647,0.0,0.0,0.14800462239583334,1.0,58.8416666507721,0.0,78.33999985694885,78.33999985694885,78.33999985694885,0.23940787529945373,0.23940787529945373,0.23940787529945373,8.0,8.0,8.0,8.0,8.0,8.0,1.9152630023956299,1.9152630023956299,8.0,1.9152630023956299
2,0.5082761601448059,0.5082761601448059,0.0,0.0,0.2529493489583333,1.0,81.47166666348775,0.0,81.88999975204467,81.88999975204467,81.88999975204467,0.2633954339981079,0.2633954339981079,0.2633954339981079,8.0,8.0,8.0,8.0,8.0,8.0,2.107163471984863,2.107163471984863,8.0,2.107163471984863
3,0.43269727040926614,0.43269727040926614,0.0,0.0,0.26939140625,1.0,84.43666665712992,0.0,84.03999966621399,84.03999966621399,84.03999966621399,0.27518617725372313,0.27518617725372313,0.27518617725372313,8.0,8.0,8.0,8.0,8.0,8.0,2.201489418029785,2.201489418029785,8.0,2.201489418029785
4,0.39377256530125937,0.39377256530125937,0.0,0.0,0.27792786458333335,1.0,85.80500003496806,0.0,84.43999988555908,84.43999988555908,84.43999988555908,0.27565019903182986,0.27565019903182986,0.27565019903182986,8.0,8.0,8.0,8.0,8.0,8.0,2.205201592254639,2.205201592254639,8.0,2.205201592254639
5,0.3702837528387706,0.3702837528387706,0.0,0.0,0.2763256510416667,1.0,86.77333335558573,0.0,85.61999979019166,85.61999979019166,85.61999979019166,0.2762883411407471,0.2762883411407471,0.2762883411407471,8.0,8.0,8.0,8.0,8.0,8.0,2.2103067291259766,2.2103067291259766,8.0,2.2103067291259766
