epoch,train_loss,train_ce_loss,train_spike_cost,train_raw_spike_rate,train_gated_spike_rate,train_time_cost,train_acc,test_acc,test_spike_rate,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,energy_proxy,prefix_energy_proxy
1,1.7833261788050334,1.7833261788050334,0.08032447916666667,0.08032447916666667,0.08032447916666667,1.0,44.421666685740156,68.53999992370605,0.17227314739227295,0.17227314739227295,0.17227314739227295,0.17227314739227295,8.0,8.0,1.3781851791381836,1.3781851791381836
2,0.675908824634552,0.675908824634552,0.22069544270833333,0.22069544270833333,0.22069544270833333,1.0,75.65999999682109,79.26999968528747,0.24632779746055602,0.24632779746055602,0.24632779746055602,0.24632779746055602,8.0,8.0,1.9706223796844482,1.9706223796844482
3,0.5145428456147512,0.5145428456147512,0.257589453125,0.257589453125,0.257589453125,1.0,81.42333333015442,81.12,0.2614490089416504,0.2614490089416504,0.2614490089416504,0.2614490089416504,8.0,8.0,2.0915920715332033,2.0915920715332033
4,0.4633953446070353,0.4633953446070353,0.265741796875,0.265741796875,0.265741796875,1.0,83.18666669209799,82.0400000667572,0.2705126010417938,0.2705126010417938,0.2705126010417938,0.2705126010417938,8.0,8.0,2.1641008083343505,2.1641008083343505
5,0.4335893477598826,0.4335893477598826,0.27283971354166664,0.27283971354166664,0.27283971354166664,1.0,84.37166669845581,83.81999995231628,0.27621795420646666,0.27621795420646666,0.27621795420646666,0.27621795420646666,8.0,8.0,2.2097436336517333,2.2097436336517333
6,0.4067315651575724,0.4067315651575724,0.2784466145833333,0.2784466145833333,0.2784466145833333,1.0,85.51666667938233,84.34999940872193,0.2811497392654419,0.2811497392654419,0.2811497392654419,0.2811497392654419,8.0,8.0,2.249197914123535,2.249197914123535
7,0.3868210878690084,0.3868210878690084,0.28211328125,0.28211328125,0.28211328125,1.0,86.25666667938232,85.29000008583068,0.28404450759887695,0.28404450759887695,0.28404450759887695,0.28404450759887695,8.0,8.0,2.2723560607910156,2.2723560607910156
8,0.3746509507656097,0.3746509507656097,0.283597265625,0.283597265625,0.283597265625,1.0,86.62666667938232,85.44999961853027,0.2820792476177216,0.2820792476177216,0.2820792476177216,0.2820792476177216,8.0,8.0,2.2566339809417726,2.2566339809417726
9,0.3614130700111389,0.3614130700111389,0.282635546875,0.282635546875,0.282635546875,1.0,87.19000003496807,85.95999986648559,0.28199428853988645,0.28199428853988645,0.28199428853988645,0.28199428853988645,8.0,8.0,2.2559543083190916,2.2559543083190916
10,0.352325901889801,0.352325901889801,0.28369791666666666,0.28369791666666666,0.28369791666666666,1.0,87.42333331108094,86.59999972343445,0.28391319642066953,0.28391319642066953,0.28391319642066953,0.28391319642066953,8.0,8.0,2.2713055713653563,2.2713055713653563
11,0.3405562643369039,0.3405562643369039,0.28490598958333335,0.28490598958333335,0.28490598958333335,1.0,87.90333331743876,87.12999975204468,0.2847479774475098,0.2847479774475098,0.2847479774475098,0.2847479774475098,8.0,8.0,2.2779838195800783,2.2779838195800783
12,0.328576615524292,0.328576615524292,0.28580234375,0.28580234375,0.28580234375,1.0,88.37833331743876,87.44000014305115,0.28893424043655397,0.28893424043655397,0.28893424043655397,0.28893424043655397,8.0,8.0,2.3114739234924317,2.3114739234924317
13,0.3231095439910889,0.3231095439910889,0.28823815104166667,0.28823815104166667,0.28823815104166667,1.0,88.49833333651225,87.57999967575073,0.28689233417510984,0.28689233417510984,0.28689233417510984,0.28689233417510984,8.0,8.0,2.2951386734008787,2.2951386734008787
14,0.3172183303356171,0.3172183303356171,0.2882059895833333,0.2882059895833333,0.2882059895833333,1.0,88.78000001271566,88.16000020980835,0.2870391358375549,0.2870391358375549,0.2870391358375549,0.2870391358375549,8.0,8.0,2.2963130867004393,2.2963130867004393
15,0.30766226557095844,0.30766226557095844,0.28922981770833334,0.28922981770833334,0.28922981770833334,1.0,89.13666669209798,87.61000018119812,0.292255579662323,0.292255579662323,0.292255579662323,0.292255579662323,8.0,8.0,2.338044637298584,2.338044637298584
16,0.305065537293752,0.305065537293752,0.292005078125,0.292005078125,0.292005078125,1.0,89.16333333969116,88.22000014305115,0.28986398787498474,0.28986398787498474,0.28986398787498474,0.28986398787498474,8.0,8.0,2.318911902999878,2.318911902999878
17,0.29998112263679505,0.29998112263679505,0.29237018229166667,0.29237018229166667,0.29237018229166667,1.0,89.34666665712993,88.16999992370606,0.29035482931137085,0.29035482931137085,0.29035482931137085,0.29035482931137085,8.0,8.0,2.322838634490967,2.322838634490967
18,0.2944730010827382,0.2944730010827382,0.2906498697916667,0.2906498697916667,0.2906498697916667,1.0,89.588333346049,88.42999974250793,0.2925158780097961,0.2925158780097961,0.2925158780097961,0.2925158780097961,8.0,8.0,2.340127024078369,2.340127024078369
19,0.2910798966089884,0.2910798966089884,0.2923842447916667,0.2923842447916667,0.2923842447916667,1.0,89.59500003178914,88.76000035285949,0.292478830909729,0.292478830909729,0.292478830909729,0.292478830909729,8.0,8.0,2.339830647277832,2.339830647277832
20,0.2855101619561513,0.2855101619561513,0.29291471354166665,0.29291471354166665,0.29291471354166665,1.0,89.941666653951,88.98000035285949,0.29359485297203064,0.29359485297203064,0.29359485297203064,0.29359485297203064,8.0,8.0,2.348758823776245,2.348758823776245
