epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,2.1561697993596396,1.4520319639523824,1.3560565981547037,0.07776243512903651,0.06536350911458333,0.5880552384694417,0.589955909983317,0.0,4.719647279866536,51.35666666348775,54.35666665712992,75.80999996185302,76.35999972343444,75.80999996185302,0.20849727816581726,0.12566144604682922,0.2762137943267822,4.724653244018555,5.0,4.724653244018555,4.724653244018555,5.0,5.0,0.5937067587132143,1.381068971633911,5.0,1.381068971633911
2,0.8350282434781392,0.5330964467684428,0.5221946061929067,0.02664511627952258,0.139090234375,0.5887433864593505,0.5903281205495199,0.0,4.722624964396159,80.86666670163473,80.82000002861022,81.44999998092652,81.22999999046326,81.44999998092652,0.24725697464942933,0.1475658239364624,0.31657866830825804,4.6852192878723145,5.0,4.6852192878723145,4.6852192878723145,5.0,5.0,0.6913782445378837,1.5828933415412902,5.0,1.5828933415412902
3,0.7360124626159668,0.45420182224909467,0.44696396584510806,0.016726887993017834,0.14831458333333333,0.5798731310844422,0.5801747172673544,0.0,4.641397738138835,83.75833335558573,83.81999999682108,83.2899997138977,83.32999969482422,83.2899997138977,0.25264068961143493,0.1481806206703186,0.32302842626571654,4.585148334503174,5.0,4.585148334503174,4.585148334503174,5.0,5.0,0.6794301260721579,1.6151421313285828,5.0,1.6151421313285828
4,0.6964006937344869,0.4168250586350759,0.40875855620702106,0.01660689337452253,0.14680084635416665,0.5648309580802917,0.5633828376770019,0.0,4.507062701416015,85.16499999046326,85.19166664759318,83.28999992370605,83.85999989509583,83.28999992370605,0.24947654294967653,0.14331641626358033,0.3305562374591827,4.445221900939941,4.0,4.445221900939941,4.445221900939941,4.0,4.0,0.6370732723390925,1.322224949836731,4.0,1.322224949836731
5,0.6761840223948161,0.3935077988624573,0.3846690615495046,0.018253851611415545,0.14021998697916666,0.5455261048952739,0.5422885154724121,0.0,4.338308123779297,86.00000003496805,86.14500001589457,85.23000005722047,85.12000007629395,85.23000005722047,0.24410670998096465,0.13655207748413087,0.3324389684200287,4.277801513671875,4.0,4.277801513671875,4.277801513671875,4.0,4.0,0.5841426837566541,1.3297558736801147,4.0,1.3297558736801147
