From Timestep,To Timestep,Population Regression Rate,Conditional Regression Rate,Correct Samples at From Timestep,Conditional Metric Valid
1,2,0.3100000023841858,0.3164556920528412,9796,True
2,3,0.3400000035762787,0.3456338346004486,9837,True
3,4,0.12999999523162842,0.13220787048339844,9833,True
4,5,0.08999999612569809,0.09136128425598145,9851,True
5,6,0.06000000238418579,0.06083342060446739,9863,True
6,7,0.07999999821186066,0.0809798538684845,9879,True
7,8,0.08999999612569809,0.09103783220052719,9886,True
