Run,Model,Lambda Hard Budget,Dependency Constrained Prefix,Accuracy,Soft Accuracy,Hard Accuracy,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Prefix Spike Rate,Prefix Energy Proxy,Loop Energy Proxy,Hard Budget Proxy
global_hb_002,global_chronoskip_s2h,0.02,False,85.76000002861024,85.69000004768371,85.76000002861024,5.543330192565918,7.0,7.0,7.0,7.0,0.300546120262146,2.1038228418350218,2.1038228418350218,5.62180233001709
global_hb_005,global_chronoskip_s2h,0.05,False,85.7999997997284,85.66999980926514,85.7999997997284,5.449439525604248,7.0,7.0,7.0,7.0,0.30146631250381467,2.110264187526703,2.110264187526703,5.521305084228516
global_hb_010,global_chronoskip_s2h,0.1,False,85.60999979019165,85.64999980926514,85.60999979019165,5.330950736999512,6.0,6.0,6.0,6.0,0.3090378867149353,1.8542273202896118,1.8542273202896118,5.3951568603515625
layerwise_hb_005,layerwise_chronoskip_s2h,0.05,False,85.57000004768372,85.74999980926513,85.57000004768372,5.451890468597412,7.0,8.0,6.0,8.0,0.2780726834774017,1.946508784341812,2.2245814678192137,5.528730392456055
layerwise_hb_010,layerwise_chronoskip_s2h,0.1,False,85.58000004768371,85.71999981880188,85.58000004768371,5.369231700897217,7.0,8.0,6.0,8.0,0.2784190101146698,1.9489330708026886,2.2273520809173584,5.439813613891602
layerwise_hb_005_dep,layerwise_chronoskip_s2h,0.05,True,85.61000003814698,85.64000004768371,85.61000003814698,5.456180572509766,6.0,6.0,6.0,6.0,0.3093415141105652,1.856049084663391,1.856049084663391,5.533011436462402
