From Timestep,To Timestep,Population Regression Rate,Conditional Regression Rate,Correct Samples at From Timestep,Conditional Metric Valid
1,2,5.303030490875244,10.852713584899902,129,True
2,3,2.651515245437622,5.0,140,True
3,4,3.409090995788574,6.040268421173096,149,True
4,5,0.7575757503509521,1.3071895837783813,153,True
5,6,0.7575757503509521,1.25,160,True
6,7,0.3787878751754761,0.6211180090904236,161,True
7,8,1.1363636255264282,1.829268217086792,164,True
