Policy,Threshold,Lambda,Accuracy,Average Timestep
Confidence,0.5,,75.98000168800354,1.0781999826431274
Confidence,0.5257894992828369,,76.74999833106995,1.1053999662399292
Confidence,0.551578938961029,,77.6199996471405,1.1324000358581543
Confidence,0.577368438243866,,78.43999862670898,1.1629999876022339
Confidence,0.6031578779220581,,79.28000092506409,1.2009999752044678
Confidence,0.628947377204895,,80.15000224113464,1.2345000505447388
Confidence,0.6547368764877319,,81.11000061035156,1.2766000032424927
Confidence,0.6805263161659241,,81.87999725341797,1.3219000101089478
Confidence,0.706315815448761,,82.78999924659729,1.3703999519348145
Confidence,0.7321052551269531,,83.64999890327454,1.4208999872207642
Confidence,0.75789475440979,,84.50000286102295,1.489400029182434
Confidence,0.7836841940879822,,85.43999791145325,1.559000015258789
Confidence,0.8094736933708191,,86.41999959945679,1.6414999961853027
Confidence,0.8352631330490112,,87.37000226974487,1.7267999649047852
Confidence,0.8610526323318481,,88.60999941825867,1.8459999561309814
Confidence,0.8868421316146851,,89.64999914169312,1.9903000593185425
Confidence,0.9126315712928772,,91.11999869346619,2.1738998889923096
Confidence,0.9384210705757141,,92.36000180244446,2.4026999473571777
Confidence,0.9642105102539062,,94.08000111579895,2.785399913787842
Confidence,0.9900000095367432,,95.88000178337097,3.766900062561035
Confidence Stability,0.5,,86.68000102043152,2.281399965286255
Confidence Stability,0.5257894992828369,,87.07000017166138,2.3006999492645264
Confidence Stability,0.551578938961029,,87.48999834060669,2.3222999572753906
Confidence Stability,0.577368438243866,,87.94000148773193,2.3422999382019043
Confidence Stability,0.6031578779220581,,88.41999769210815,2.3701999187469482
Confidence Stability,0.628947377204895,,88.77999782562256,2.398099899291992
Confidence Stability,0.6547368764877319,,89.32999968528748,2.4321000576019287
Confidence Stability,0.6805263161659241,,89.7599995136261,2.4632999897003174
Confidence Stability,0.706315815448761,,90.2899980545044,2.496999979019165
Confidence Stability,0.7321052551269531,,90.6499981880188,2.533400058746338
Confidence Stability,0.75789475440979,,91.10999703407288,2.578900098800659
Confidence Stability,0.7836841940879822,,91.6100025177002,2.6268999576568604
Confidence Stability,0.8094736933708191,,92.14000105857849,2.6867001056671143
Confidence Stability,0.8352631330490112,,92.64000058174133,2.758500099182129
Confidence Stability,0.8610526323318481,,93.19999814033508,2.829200029373169
Confidence Stability,0.8868421316146851,,93.73000264167786,2.9268999099731445
Confidence Stability,0.9126315712928772,,94.34000253677368,3.0513999462127686
Confidence Stability,0.9384210705757141,,94.96999979019165,3.232100009918213
Confidence Stability,0.9642105102539062,,95.71999907493591,3.5227999687194824
Confidence Stability,0.9900000095367432,,96.50999903678894,4.314599990844727
Cost-Aware Oracle,,8.0,73.11999797821045,1.0
Cost-Aware Oracle,,16.0,73.11999797821045,1.0
