epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.9724208370844523,1.3086036801656087,1.2930516156832377,0.0029914456301679214,0.12636315104166668,0.9232391866366069,0.9997240044275919,0.24972400442759196,7.997792035420735,57.21666667620341,57.803333320617675,77.91999987602235,77.98999988555909,77.91999987602235,0.22941359581947326,0.21129540402889252,0.24203252801895142,7.394756317138672,8.0,7.394756317138672,7.394756317138672,8.0,8.0,1.5624780237250209,1.9362602241516114,8.0,1.9362602241516114
2,0.8063936525026957,0.5147703586419423,0.510987081082662,0.001904626457206905,0.22290436197916666,0.9244336266199747,0.999732548904419,0.24973254890441896,7.997860391235352,81.30500000317892,81.23500000317891,81.85999975204467,81.84999972343445,81.85999975204467,0.2513957695960998,0.23169256775379182,0.2640556453227997,7.395133972167969,8.0,7.395133972167969,7.395133972167969,8.0,8.0,1.7133975788948947,2.1124451625823975,8.0,2.1124451625823975
3,0.7071671822230021,0.43597877807617186,0.43341385095914203,0.0013486263952528436,0.23804680989583332,0.923899550819397,0.9997286118189493,0.24972861181894937,7.997828894551595,84.32500003178914,84.38666667938233,83.80999966621398,83.91999965667725,83.80999966621398,0.26351247339248657,0.24269466271400453,0.2761420292854309,7.385814666748047,8.0,7.385814666748047,7.385814666748047,8.0,8.0,1.792497799414565,2.2091362342834473,8.0,2.2091362342834473
4,0.6659292136510213,0.3961596619764964,0.3940580657958984,0.0012506103580196698,0.2436755859375,0.922093602403005,0.9997150404612223,0.24971504046122234,7.997720323689778,85.73833335558574,85.74833334287008,84.219999666214,84.36999987602233,84.219999666214,0.2644533977985382,0.2427439915418625,0.2771982319355011,7.365589141845703,8.0,7.365589141845703,7.365589141845703,8.0,8.0,1.7879525083490275,2.2175858554840087,8.0,2.2175858554840087
5,0.6486645048777262,0.3728847420533498,0.3706352831363678,0.0013257461042453845,0.2381703125,0.9188581090291341,0.9996890824635823,0.24968908246358235,7.997512659708659,86.6650000222524,86.73833333651224,86.01000002861024,85.93000002861022,86.01000002861024,0.257195760679245,0.2352925629377365,0.27119664030075075,7.33397912979126,8.0,7.33397912979126,7.33397912979126,8.0,8.0,1.725630745980456,2.169573122406006,8.0,2.169573122406006
