Model,Accuracy,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Effective Timestep,Hard Effective Timestep,Energy Proxy,Prefix Energy Proxy,Selected Neurons
fixed_lif,89.10000002861022,0.29111337342262267,0.29111337342262267,0.29111337342262267,8.0,8.0,2.3289069873809813,2.3289069873809813,fixed_lif; fixed_lif
gate_only,89.15999970436096,0.25164998497962954,0.23804348583221435,0.25950623197555545,7.579344272613525,8.0,1.8042135309753526,2.0760498558044436,fast_sensitive; fast_sensitive
neuron_only,87.81000018119812,0.3297605318546295,0.3297605318546295,0.3297605318546295,8.0,8.0,2.638084254837036,2.638084254837036,memory_balanced; memory_balanced
spikegate,87.7599997138977,0.3312348066329956,0.3153322088241577,0.3353071452617645,7.639673709869385,8.0,2.4090351856289605,2.682457162094116,memory_balanced; memory_balanced
