Model,Accuracy,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Effective Timestep,Hard Effective Timestep,Energy Proxy,Prefix Energy Proxy,Selected Neurons
fixed_lif,88.98999959945678,0.29358907289505004,0.29358907289505004,0.29358907289505004,8.0,8.0,2.3487125831604003,2.3487125831604003,fixed_lif; fixed_lif
gate_only,89.17999999046326,0.25513058352470397,0.24325410323143004,0.2620478558063507,7.6392292976379395,8.0,1.8582738721761842,2.0963828464508056,fast_sensitive; fast_sensitive
neuron_only,87.81000018119812,0.3297605318546295,0.3297605318546295,0.3297605318546295,8.0,8.0,2.638084254837036,2.638084254837036,memory_balanced; memory_balanced
spikegate,87.73999985694886,0.33122848587036136,0.31801231212615966,0.3345592161178589,7.70075798034668,8.0,2.4489358504540233,2.676473728942871,memory_balanced; memory_balanced
