Model,Accuracy,Soft Accuracy,Hard Accuracy,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Effective Timestep,Layer2 Effective Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Energy Proxy,Prefix Energy Proxy,Loop Energy Proxy
fixed_lif_T8,85.69000002861023,85.69000002861023,85.69000002861023,0.274754002904892,0.274754002904892,0.274754002904892,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.198032023239136,2.198032023239136,2.198032023239136
fixed_lif_T6,85.68000004768372,85.68000004768372,85.68000004768372,0.2761987612724304,0.2761987612724304,0.2761987612724304,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.6571925676345824,1.6571925676345824,1.6571925676345824
fixed_lif_T4,85.94000001907348,85.94000001907348,85.94000001907348,0.27723484644889834,0.27723484644889834,0.27723484644889834,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.1089393857955934,1.1089393857955934,1.1089393857955934
fixed_lif_T2,86.55999975204467,86.55999975204467,86.55999975204467,0.26241736402511595,0.26241736402511595,0.26241736402511595,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5248347280502319,0.5248347280502319,0.5248347280502319
soft_gate_T8,85.98999979019165,86.01000001907349,85.98999979019165,0.25642447195053103,0.24844131336212158,0.2612802037239075,7.759218215942383,8.0,8.0,7.759218215942383,7.759218215942383,8.0,8.0,1.9277103642320235,2.09024162979126,2.09024162979126
global_chronoskip_T8,85.98999979019165,86.01000001907349,85.98999979019165,0.25642447195053103,0.24844131336212158,0.2612802037239075,7.759218215942383,8.0,8.0,7.759218215942383,7.759218215942383,8.0,8.0,1.9277103642320235,2.09024162979126,2.09024162979126
global_chronoskip_s2h_T8,85.93000002861022,85.89999979972839,85.93000002861022,0.261436226272583,0.25332443871498106,0.26635949783325197,7.760649681091309,8.0,8.0,7.760649681091309,7.760649681091309,8.0,8.0,1.9659622245260526,2.1308759826660157,2.1308759826660157
layerwise_chronoskip_T8,86.0799997806549,86.0499997806549,86.0799997806549,0.2557413227081299,0.2477257709980011,0.26190073175430295,7.739001274108887,8.0,8.0,7.694464683532715,7.783538341522217,8.0,8.0,1.9171500573831366,2.0952058540344236,2.0952058540344236
layerwise_chronoskip_s2h_T8,86.01999979019165,85.88000003814697,86.01999979019165,0.26032892928123474,0.25216043510437014,0.2664178256034851,7.739537239074707,8.0,8.0,7.694725513458252,7.78434944152832,8.0,8.0,1.9516050777115534,2.1313426048278807,2.1313426048278807
