Run,Model,Accuracy,Soft Accuracy,Hard Accuracy,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Energy Proxy,Prefix Energy Proxy,Loop Energy Proxy,Hard Budget Proxy,Hard Prefix Steps,Hard Prefix Masks
fixed_lif_T8,fixed_lif,88.5999997138977,88.5999997138977,88.5999997138977,8.0,8.0,8.0,8.0,8.0,0.27978020906448364,0.27978020906448364,0.27978020906448364,2.238241672515869,2.238241672515869,2.238241672515869,0.0,{},[]
fixed_lif_T6,fixed_lif,88.58999995231629,88.58999995231629,88.58999995231629,6.0,6.0,6.0,6.0,6.0,0.2801959126472473,0.2801959126472473,0.2801959126472473,1.6811754758834838,1.6811754758834838,1.6811754758834838,0.0,{},[]
fixed_lif_T4,fixed_lif,88.53999974250793,88.53999974250793,88.53999974250793,4.0,4.0,4.0,4.0,4.0,0.28245915632247925,0.28245915632247925,0.28245915632247925,1.129836625289917,1.129836625289917,1.129836625289917,0.0,{},[]
global_s2h_g25_hb010_T6target,global_chronoskip_s2h,88.08999996185302,87.82999976158142,88.08999996185302,4.567000389099121,5.0,5.0,5.0,5.0,0.2369767660856247,0.13996663634777068,0.31048054919242857,0.6392276826611639,1.552402745962143,1.552402745962143,4.560446739196777,"{""global"": 5.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
layerwise_s2h_dep_g25_hb005_T6target,layerwise_chronoskip_s2h,88.02999995231629,87.98999975204468,88.02999995231629,4.925174236297607,4.0,4.0,4.0,4.0,0.22945842039585113,0.1485671847820282,0.31310739336013793,0.7317192708477113,1.2524295734405517,1.2524295734405517,4.945899963378906,"{""average"": 4.0, ""executed"": 4.0, ""layer1"": 4.0, ""layer2"": 4.0}","{""layer1"": [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""layer2"": [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]}"
global_s2h_g20_hb005_T4target,global_chronoskip_s2h,87.76,87.34,87.76,3.642956018447876,3.0,3.0,3.0,3.0,0.23259583606719972,0.11618475003242493,0.323582190990448,0.42325593438248443,0.970746572971344,0.970746572971344,3.5936779975891113,"{""global"": 3.0}","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
layerwise_s2h_dep_g20_hb005_T4target,layerwise_chronoskip_s2h,87.66,87.47,87.66,3.761385917663574,3.0,3.0,3.0,3.0,0.22462534258365632,0.11745875618457795,0.32588173155784605,0.44180771141895075,0.9776451946735382,0.9776451946735382,3.7111306190490723,"{""average"": 3.0, ""executed"": 3.0, ""layer1"": 3.0, ""layer2"": 3.0}","{""layer1"": [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""layer2"": [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
