epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,0.8777691543579101,0.8777691543579101,0.0,0.0,0.08813253580729166,0.25,0.0,0.0,0.0,0.0,73.56166667302449,0.0,92.51,92.51,0.0,0.11709356582164765,0.11709356582164765,0.11709356582164765,2.0,2.0,2.0,2.0,2.0,2.0,0.2341871316432953,0.2341871316432953,2.0,0.2341871316432953
2,0.2154950888554255,0.2154950888554255,0.0,0.0,0.12064127604166666,0.25,0.0,0.0,0.0,0.0,93.93333333333334,0.0,95.26,95.26,0.0,0.119903311252594,0.119903311252594,0.119903311252594,2.0,2.0,2.0,2.0,2.0,2.0,0.239806622505188,0.239806622505188,2.0,0.239806622505188
3,0.15136699237028758,0.15136699237028758,0.0,0.0,0.12271041666666667,0.25,0.0,0.0,0.0,0.0,95.58833333651225,0.0,96.13,96.13,0.0,0.12398346432447434,0.12398346432447434,0.12398346432447434,2.0,2.0,2.0,2.0,2.0,2.0,0.24796692864894868,0.24796692864894868,2.0,0.24796692864894868
4,0.12191035258769989,0.12191035258769989,0.0,0.0,0.1239642578125,0.25,0.0,0.0,0.0,0.0,96.44,0.0,96.67,96.67,0.0,0.12202093888521194,0.12202093888521194,0.12202093888521194,2.0,2.0,2.0,2.0,2.0,2.0,0.24404187777042388,0.24404187777042388,2.0,0.24404187777042388
5,0.10452543905377389,0.10452543905377389,0.0,0.0,0.12471907552083333,0.25,0.0,0.0,0.0,0.0,96.95,0.0,97.05,97.05,0.0,0.12355530240535736,0.12355530240535736,0.12355530240535736,2.0,2.0,2.0,2.0,2.0,2.0,0.24711060481071473,0.24711060481071473,2.0,0.24711060481071473
6,0.09322750285863876,0.09322750285863876,0.0,0.0,0.12500032552083334,0.25,0.0,0.0,0.0,0.0,97.26500000317891,0.0,97.41,97.41,0.0,0.12365065386295318,0.12365065386295318,0.12365065386295318,2.0,2.0,2.0,2.0,2.0,2.0,0.24730130772590636,0.24730130772590636,2.0,0.24730130772590636
7,0.0844383963783582,0.0844383963783582,0.0,0.0,0.1248185546875,0.25,0.0,0.0,0.0,0.0,97.49500000317892,0.0,97.42,97.42,0.0,0.12469185177087784,0.12469185177087784,0.12469185177087784,2.0,2.0,2.0,2.0,2.0,2.0,0.24938370354175568,0.24938370354175568,2.0,0.24938370354175568
8,0.07897012255589167,0.07897012255589167,0.0,0.0,0.12480169270833333,0.25,0.0,0.0,0.0,0.0,97.60333333651225,0.0,97.6,97.6,0.0,0.12431748094558716,0.12431748094558716,0.12431748094558716,2.0,2.0,2.0,2.0,2.0,2.0,0.24863496189117432,0.24863496189117432,2.0,0.24863496189117432
9,0.07424590708414713,0.07424590708414713,0.0,0.0,0.12478548177083333,0.25,0.0,0.0,0.0,0.0,97.76333333333334,0.0,97.72,97.72,0.0,0.12322284390926361,0.12322284390926361,0.12322284390926361,2.0,2.0,2.0,2.0,2.0,2.0,0.24644568781852721,0.24644568781852721,2.0,0.24644568781852721
10,0.06810666994849841,0.06810666994849841,0.0,0.0,0.12491393229166667,0.25,0.0,0.0,0.0,0.0,98.05166666984559,0.0,97.77,97.77,0.0,0.12509155328273774,0.12509155328273774,0.12509155328273774,2.0,2.0,2.0,2.0,2.0,2.0,0.2501831065654755,0.2501831065654755,2.0,0.2501831065654755
