epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.942119994131724,1.293141089661916,1.287367300637563,0.0004269718557751427,0.13693430989583333,0.9708192782084147,57.93833333651225,58.16166667620341,78.06999988555908,78.10999987602234,78.06999988555908,0.2337160501241684,0.22663913412094117,0.23825424153804778,7.770092487335205,8.0,7.770092487335205,7.770092487335205,8.0,8.0,1.7610070333692809,1.9060339323043822,8.0,1.9060339323043822
2,0.7792224390029907,0.5115646467367808,0.5101876050949097,0.00029326887156348676,0.2382060546875,0.9713421199162801,81.34500000953675,81.36333334287008,81.90999997138977,81.78999996185303,81.90999997138977,0.25460956873893736,0.24700543789863585,0.2592869700908661,7.771188735961914,8.0,7.771188735961914,7.771188735961914,8.0,8.0,1.919525876719219,2.074295760726929,8.0,2.074295760726929
3,0.6698320444424947,0.43402308947245277,0.43306146297454834,0.000233833702482904,0.2532872395833333,0.9713523563385009,84.37666669845581,84.38666668574015,83.96999990463257,83.97999991416931,83.96999990463257,0.2663832250595093,0.2584194104194641,0.2710936439037323,7.770107269287109,8.0,7.770107269287109,7.770107269287109,8.0,8.0,2.007946539425167,2.1687491512298585,8.0,2.1687491512298585
4,0.6164301577885946,0.3939078917821248,0.39313217193285627,0.0002263900044063727,0.25991484375,0.9710832796732585,85.78500000317891,85.82333334287007,84.4399996471405,84.40999988555909,84.4399996471405,0.2656405390739441,0.25760095658302307,0.27012685518264773,7.766729354858398,8.0,7.766729354858398,7.766729354858398,8.0,8.0,2.0007169113329693,2.161014841461182,8.0,2.161014841461182
5,0.5879388203303019,0.3708323304971059,0.36989188842773435,0.0002441587103685985,0.254530859375,0.9704927941958109,86.74333335558573,86.76999999682108,85.93000002861022,85.89999979972839,85.93000002861022,0.261436226272583,0.25332443871498106,0.26635949783325197,7.760649681091309,8.0,7.760649681091309,7.760649681091309,8.0,8.0,1.9659622245260526,2.1308759826660157,8.0,2.1308759826660157
