epoch,train_loss,train_ce_loss,train_spike_cost,train_raw_spike_rate,train_gated_spike_rate,train_time_cost,train_acc,test_acc,test_spike_rate,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,energy_proxy,prefix_energy_proxy
1,1.7833261788050334,1.7833261788050334,0.08032447916666667,0.08032447916666667,0.08032447916666667,1.0,44.421666685740156,68.53999992370605,0.17227314739227295,0.17227314739227295,0.17227314739227295,0.17227314739227295,8.0,8.0,1.3781851791381836,1.3781851791381836
2,0.6759068637530009,0.6759068637530009,0.22069544270833333,0.22069544270833333,0.22069544270833333,1.0,75.65499999682109,79.26999968528747,0.246328085565567,0.246328085565567,0.246328085565567,0.246328085565567,8.0,8.0,1.970624684524536,1.970624684524536
3,0.5145398112456003,0.5145398112456003,0.257589453125,0.257589453125,0.257589453125,1.0,81.43499999682109,81.13,0.2614691462993622,0.2614691462993622,0.2614691462993622,0.2614691462993622,8.0,8.0,2.0917531703948975,2.0917531703948975
4,0.4633819850921631,0.4633819850921631,0.26575846354166666,0.26575846354166666,0.26575846354166666,1.0,83.18166669209798,82.0200000667572,0.27055688996315,0.27055688996315,0.27055688996315,0.27055688996315,8.0,8.0,2.1644551197052,2.1644551197052
5,0.4336435329437256,0.4336435329437256,0.27284557291666667,0.27284557291666667,0.27284557291666667,1.0,84.38166668574016,83.7800004196167,0.27617973175048827,0.27617973175048827,0.27617973175048827,0.27617973175048827,8.0,8.0,2.209437854003906,2.209437854003906
6,0.4071202073256175,0.4071202073256175,0.27861848958333335,0.27861848958333335,0.27861848958333335,1.0,85.44833333969116,84.24999973297119,0.2795516176223755,0.2795516176223755,0.2795516176223755,0.2795516176223755,8.0,8.0,2.236412940979004,2.236412940979004
7,0.38732101910909017,0.38732101910909017,0.2817502604166667,0.2817502604166667,0.2817502604166667,1.0,86.24833331108093,85.22999965667725,0.28344582757949827,0.28344582757949827,0.28344582757949827,0.28344582757949827,8.0,8.0,2.267566620635986,2.267566620635986
8,0.3744693384488424,0.3744693384488424,0.2838506510416667,0.2838506510416667,0.2838506510416667,1.0,86.60833336512248,85.48999961853028,0.28145284743309024,0.28145284743309024,0.28145284743309024,0.28145284743309024,8.0,8.0,2.251622779464722,2.251622779464722
9,0.3610993790308634,0.3610993790308634,0.2827546875,0.2827546875,0.2827546875,1.0,87.16833336830139,86.02000047683715,0.2821439561843872,0.2821439561843872,0.2821439561843872,0.2821439561843872,8.0,8.0,2.2571516494750976,2.2571516494750976
10,0.3527861490090688,0.3527861490090688,0.28354140625,0.28354140625,0.28354140625,1.0,87.40999998410543,86.51999986648559,0.28412640385627747,0.28412640385627747,0.28412640385627747,0.28412640385627747,8.0,8.0,2.2730112308502197,2.2730112308502197
11,0.34027383556365964,0.34027383556365964,0.28528997395833333,0.28528997395833333,0.28528997395833333,1.0,87.86666664441427,87.13000003814697,0.2839745415210724,0.2839745415210724,0.2839745415210724,0.2839745415210724,8.0,8.0,2.271796332168579,2.271796332168579
12,0.3287393388112386,0.3287393388112386,0.28607083333333333,0.28607083333333333,0.28607083333333333,1.0,88.3916666507721,87.40000014305114,0.28851056041717527,0.28851056041717527,0.28851056041717527,0.28851056041717527,8.0,8.0,2.308084483337402,2.308084483337402
13,0.32288504320780437,0.32288504320780437,0.2880622395833333,0.2880622395833333,0.2880622395833333,1.0,88.52166668891907,87.57000032424926,0.28775266280174255,0.28775266280174255,0.28775266280174255,0.28775266280174255,8.0,8.0,2.3020213024139404,2.3020213024139404
14,0.3174356200218201,0.3174356200218201,0.2872951822916667,0.2872951822916667,0.2872951822916667,1.0,88.77333335876465,88.02999949455261,0.28799887714385985,0.28799887714385985,0.28799887714385985,0.28799887714385985,8.0,8.0,2.303991017150879,2.303991017150879
15,0.30832775206565854,0.30832775206565854,0.2884884114583333,0.2884884114583333,0.2884884114583333,1.0,89.12833335876465,87.64999985694885,0.2912467269420624,0.2912467269420624,0.2912467269420624,0.2912467269420624,8.0,8.0,2.329973815536499,2.329973815536499
16,0.3047743107318878,0.3047743107318878,0.2902442708333333,0.2902442708333333,0.2902442708333333,1.0,89.1616666730245,88.16999967575073,0.2896940748214722,0.2896940748214722,0.2896940748214722,0.2896940748214722,8.0,8.0,2.3175525985717775,2.3175525985717775
17,0.29970544379552205,0.29970544379552205,0.29158098958333334,0.29158098958333334,0.29158098958333334,1.0,89.35833332379659,88.22999974250793,0.2905005964279175,0.2905005964279175,0.2905005964279175,0.2905005964279175,8.0,8.0,2.32400477142334,2.32400477142334
18,0.2950937938372294,0.2950937938372294,0.29004244791666667,0.29004244791666667,0.29004244791666667,1.0,89.52333334604899,88.39999988555908,0.2917245470046997,0.2917245470046997,0.2917245470046997,0.2917245470046997,8.0,8.0,2.3337963760375975,2.3337963760375975
19,0.2918086672782898,0.2918086672782898,0.29018541666666664,0.29018541666666664,0.29018541666666664,1.0,89.57166669845581,88.6900003528595,0.28956843223571777,0.28956843223571777,0.28956843223571777,0.28956843223571777,8.0,8.0,2.316547457885742,2.316547457885742
20,0.2853352156321208,0.2853352156321208,0.29194895833333334,0.29194895833333334,0.29194895833333334,1.0,89.945,89.10000002861022,0.29111337342262267,0.29111337342262267,0.29111337342262267,0.29111337342262267,8.0,8.0,2.3289069873809813,2.3289069873809813
