model,fold,feature,train_mean,train_std
linear_gate,0,previous_top1_confidence,0.969138503074646,0.09239710122346878
linear_gate,0,previous_top1_margin,0.9432421922683716,0.16871747374534607
linear_gate,0,previous_normalized_entropy,0.036144305020570755,0.08954127132892609
linear_gate,0,new_top1_confidence,0.9778783321380615,0.07756981998682022
linear_gate,0,new_top1_margin,0.9592454433441162,0.14206549525260925
linear_gate,0,new_normalized_entropy,0.026857221499085426,0.07608531415462494
linear_gate,0,same_top1_class,0.9559107422828674,0.20529349148273468
linear_gate,0,new_probability_of_previous_class,0.948241651058197,0.18627026677131653
linear_gate,0,previous_probability_of_new_class,0.9434241056442261,0.18340259790420532
linear_gate,0,top1_confidence_delta,0.008739872835576534,0.07999246567487717
linear_gate,0,top1_margin_delta,0.016003265976905823,0.14802655577659607
linear_gate,0,js_divergence,0.01900777965784073,0.07873215526342392
linear_gate,0,normalized_timestep,0.625,0.25
linear_gate,1,previous_top1_confidence,0.9694794416427612,0.09174011647701263
linear_gate,1,previous_top1_margin,0.9438045024871826,0.16777007281780243
linear_gate,1,previous_normalized_entropy,0.035764217376708984,0.0888710543513298
linear_gate,1,new_top1_confidence,0.9779791831970215,0.07709489017724991
linear_gate,1,new_top1_margin,0.959360659122467,0.1415017992258072
linear_gate,1,new_normalized_entropy,0.026760004460811615,0.07567638903856277
linear_gate,1,same_top1_class,0.9562976360321045,0.20443210005760193
linear_gate,1,new_probability_of_previous_class,0.9485688209533691,0.18548691272735596
linear_gate,1,previous_probability_of_new_class,0.9438194632530212,0.18296219408512115
linear_gate,1,top1_confidence_delta,0.008499669842422009,0.07954481244087219
linear_gate,1,top1_margin_delta,0.015556111931800842,0.14730532467365265
linear_gate,1,js_divergence,0.018912028521299362,0.07868822664022446
linear_gate,1,normalized_timestep,0.625,0.25
linear_gate,2,previous_top1_confidence,0.9695237874984741,0.09178904443979263
linear_gate,2,previous_top1_margin,0.9439112544059753,0.1677597463130951
linear_gate,2,previous_normalized_entropy,0.03570086136460304,0.08884337544441223
linear_gate,2,new_top1_confidence,0.9780183434486389,0.07726646214723587
linear_gate,2,new_top1_margin,0.9594551920890808,0.14174328744411469
linear_gate,2,new_normalized_entropy,0.026670224964618683,0.07562685012817383
linear_gate,2,same_top1_class,0.9561964273452759,0.20465780794620514
linear_gate,2,new_probability_of_previous_class,0.9485734105110168,0.185688316822052
linear_gate,2,previous_probability_of_new_class,0.9439884424209595,0.1826203316450119
linear_gate,2,top1_confidence_delta,0.008494444191455841,0.0795876607298851
linear_gate,2,top1_margin_delta,0.015543986111879349,0.14729903638362885
linear_gate,2,js_divergence,0.018844861537218094,0.07853227853775024
linear_gate,2,normalized_timestep,0.625,0.25
linear_gate,3,previous_top1_confidence,0.9695965647697449,0.09163983166217804
linear_gate,3,previous_top1_margin,0.9440523386001587,0.1673957109451294
linear_gate,3,previous_normalized_entropy,0.03564940392971039,0.08888573944568634
linear_gate,3,new_top1_confidence,0.9781665802001953,0.07689645886421204
linear_gate,3,new_top1_margin,0.9597336053848267,0.14102929830551147
linear_gate,3,new_normalized_entropy,0.026547564193606377,0.0754711851477623
linear_gate,3,same_top1_class,0.9563690423965454,0.20427259802818298
linear_gate,3,new_probability_of_previous_class,0.948721170425415,0.18556679785251617
linear_gate,3,previous_probability_of_new_class,0.9440154433250427,0.18270255625247955
linear_gate,3,top1_confidence_delta,0.008569988422095776,0.07950588315725327
