method,seed,prefix_accuracy_curve,final_accuracy,mean_prefix_accuracy,minimum_prefix_accuracy,normalized_prefix_auc,normalized_prefix_auc_definition,ever_regressed_fraction,ever_recovered_fraction,population_destructive_rate,conditional_regression_rate,population_beneficial_rate,conditional_recovery_rate,correct_to_wrong_count,wrong_to_correct_count,first_correct_timestep_mean,stable_correct_timestep_mean,final_accuracy_change,mean_prefix_accuracy_change,minimum_prefix_accuracy_change,normalized_prefix_auc_change,matched_common_correct_support,candidate_matched_regression_count,raw_matched_regression_count,micro_matched_regression_difference,matched_common_wrong_support,candidate_matched_recovery_count,raw_matched_recovery_count,seed_recovery_preservation_ratio,first_delay_mean,first_delay_median,first_delay_q25,first_delay_q75,first_fraction_delayed,first_fraction_accelerated,first_fraction_unchanged,stable_delay_mean,stable_delay_median,stable_delay_q25,stable_delay_q75,stable_fraction_delayed,stable_fraction_accelerated,stable_fraction_unchanged,macro_matched_regression_difference,overall_keep_rate,keep_count,action_count,keep_rate_W_TO_W,switch_rate_W_TO_W,support_W_TO_W,keep_rate_W_TO_C,switch_rate_W_TO_C,support_W_TO_C,keep_rate_C_TO_W,switch_rate_C_TO_W,support_C_TO_W,keep_rate_C_TO_C,switch_rate_C_TO_C,support_C_TO_C,keep_rate_t1_to_t2,keep_rate_t2_to_t3,keep_rate_t3_to_t4,keep_rate_t4_to_t5,keep_rate_t5_to_t6,keep_rate_t6_to_t7,keep_rate_t7_to_t8,C_TO_W_keep_recall,W_TO_C_false_keep_rate
raw_final_ce,3,"[82.52000427246094, 92.00999450683594, 94.58000183105469, 97.37999725341797, 98.33999633789062, 98.55999755859375, 98.79000091552734, 98.88999938964844]",98.88999938964844,95.13375091552734,82.52000427246094,95.13375091552734,arithmetic mean of prefix accuracy percentages,0.02449999935925007,0.18539999425411224,0.3585714285714286,0.3790510133196412,2.697142857142857,49.92067689053411,251,1888,1.291691780090332,1.3537263870239258,0.0,0.0,0.0,0.0,66218,251,251,0.0,3782,1888,1888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,70000,0.0,1.0,70000,,,0,,,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
raw_final_ce,4,"[75.2699966430664, 89.52000427246094, 93.40999603271484, 96.59000396728516, 98.1500015258789, 98.58999633789062, 98.8499984741211, 98.77999877929688]",98.77999877929688,93.64500427246094,75.2699966430664,93.64500427246094,arithmetic mean of prefix accuracy percentages,0.019500000402331352,0.2515000104904175,0.2885714285714286,0.3105876564470002,3.6471428571428572,51.45102781136639,202,2553,1.4167253971099854,1.4595059156417847,0.0,0.0,0.0,0.0,65038,202,202,0.0,4962,2553,2553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,70000,0.0,1.0,70000,,,0,,,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
raw_final_ce,5,"[71.4800033569336, 87.69999694824219, 92.1500015258789, 96.6300048828125, 98.08999633789062, 98.37999725341797, 98.72000122070312, 98.97999572753906]",98.97999572753906,92.76625061035156,71.4800033569336,92.76625061035156,arithmetic mean of prefix accuracy percentages,0.01979999989271164,0.290800005197525,0.29,0.31563398896058464,4.218571428571429,51.94371152154793,203,2953,1.4886294603347778,1.5360678434371948,0.0,0.0,0.0,0.0,64315,203,203,0.0,5685,2953,2953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,70000,0.0,1.0,70000,,,0,,,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
oracle_block_destructive,3,"[82.52000427246094, 93.0199966430664, 95.9800033569336, 98.1199951171875, 98.8699951171875, 99.11000061035156, 99.31999969482422, 99.41999816894531]",99.41999816894531,95.79499816894531,82.52000427246094,95.79499816894531,arithmetic mean of prefix accuracy percentages,0.0,0.16899999976158142,0.0,0.0,2.414285714285714,51.119177253478526,0,1690,1.291691780090332,1.291691780090332,0.529998779296875,0.6612472534179688,0.0,0.6612472534179688,66218,0,251,-0.3790510133196412,3306,1690,1690,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06663969904184341,0.0,0.0,0.0,0.0,0.019415512681007385,0.9805845022201538,-0.40115885912226673,0.0075571429915726185,529,70000,0.0,1.0,1616,0.0,1.0,1690,1.0,0.0,529,0.0,1.0,66165,0.010099999606609344,0.014000000432133675,0.007400000002235174,0.0052999998442828655,0.005499999970197678,0.0052999998442828655,0.0052999998442828655,1.0,0.0
oracle_block_destructive,4,"[75.2699966430664, 90.27999877929688, 94.61000061035156, 97.33999633789062, 98.50999450683594, 98.90999603271484, 99.26000213623047, 99.37000274658203]",99.37000274658203,94.19374084472656,75.2699966430664,94.19374084472656,arithmetic mean of prefix accuracy percentages,0.0,0.2409999966621399,0.0,0.0,3.442857142857143,52.59711916193802,0,2410,1.4167253971099854,1.4167253971099854,0.5900039672851562,0.548736572265625,0.0,0.548736572265625,65038,0,202,-0.3105876564470002,4582,2410,2410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04697307199239731,0.0,0.0,0.0,0.0,0.013767968863248825,0.9862320423126221,-0.3368175353639726,0.006271428428590298,439,70000,0.0,1.0,2172,0.0,1.0,2410,1.0,0.0,439,0.0,1.0,64979,0.007600000128149986,0.012000000104308128,0.007499999832361937,0.003599999938160181,0.0031999999191612005,0.004100000020116568,0.005900000222027302,1.0,0.0
oracle_block_destructive,5,"[71.4800033569336, 88.6300048828125, 93.36000061035156, 97.22999572753906, 98.43999481201172, 98.79999542236328, 99.15999603271484, 99.37999725341797]",99.37999725341797,93.30999755859375,71.4800033569336,93.30999755859375,arithmetic mean of prefix accuracy percentages,0.0,0.27900001406669617,0.0,0.0,3.9857142857142858,52.74102079395085,0,2790,1.4886294603347778,1.4886294603347778,0.40000152587890625,0.5437469482421875,0.0,0.5437469482421875,64315,0,203,-0.31563398896058464,5290,2790,2790,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05091937631368637,0.0,0.0,0.0,0.0,0.015962820500135422,0.9840371608734131,-0.35749737213444027,0.006214285735040903,435,70000,0.0,1.0,2500,0.0,1.0,2790,1.0,0.0,435,0.0,1.0,64275,0.00930000003427267,0.01209999993443489,0.006000000052154064,0.0035000001080334187,0.00419999985024333,0.004399999976158142,0.004000000189989805,1.0,0.0
oracle_best_candidate,3,"[82.52000427246094, 93.0199966430664, 95.9800033569336, 98.1199951171875, 98.8699951171875, 99.11000061035156, 99.31999969482422, 99.41999816894531]",99.41999816894531,95.79499816894531,82.52000427246094,95.79499816894531,arithmetic mean of prefix accuracy percentages,0.0,0.16899999976158142,0.0,0.0,2.414285714285714,51.119177253478526,0,1690,1.291691780090332,1.291691780090332,0.529998779296875,0.6612472534179688,0.0,0.6612472534179688,66218,0,251,-0.3790510133196412,3306,1690,1690,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06663969904184341,0.0,0.0,0.0,0.0,0.019415512681007385,0.9805845022201538,-0.40115885912226673,0.5996714234352112,41977,70000,0.24814356863498688,0.7518564462661743,1616,0.0,1.0,1690,1.0,0.0,529,0.6203733086585999,0.37962669134140015,66165,0.26030001044273376,0.5047000050544739,0.47380000352859497,0.5716999769210815,0.7182999849319458,0.8202000260353088,0.8486999869346619,1.0,0.0
oracle_best_candidate,4,"[75.2699966430664, 90.27999877929688, 94.61000061035156, 97.33999633789062, 98.50999450683594, 98.90999603271484, 99.26000213623047, 99.37000274658203]",99.37000274658203,94.19374084472656,75.2699966430664,94.19374084472656,arithmetic mean of prefix accuracy percentages,0.0,0.2409999966621399,0.0,0.0,3.442857142857143,52.59711916193802,0,2410,1.4167253971099854,1.4167253971099854,0.5900039672851562,0.548736572265625,0.0,0.548736572265625,65038,0,202,-0.3105876564470002,4582,2410,2410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04697307199239731,0.0,0.0,0.0,0.0,0.013767968863248825,0.9862320423126221,-0.3368175353639726,0.5198000073432922,36386,70000,0.1956721842288971,0.8043277859687805,2172,0.0,1.0,2410,1.0,0.0,439,0.5466689467430115,0.4533310830593109,64979,0.1914999932050705,0.4575999975204468,0.41519999504089355,0.4731000065803528,0.6334999799728394,0.6919000148773193,0.7757999897003174,1.0,0.0
oracle_best_candidate,5,"[71.4800033569336, 88.6300048828125, 93.36000061035156, 97.22999572753906, 98.43999481201172, 98.79999542236328, 99.15999603271484, 99.37999725341797]",99.37999725341797,93.30999755859375,71.4800033569336,93.30999755859375,arithmetic mean of prefix accuracy percentages,0.0,0.27900001406669617,0.0,0.0,3.9857142857142858,52.74102079395085,0,2790,1.4886294603347778,1.4886294603347778,0.40000152587890625,0.5437469482421875,0.0,0.5437469482421875,64315,0,203,-0.31563398896058464,5290,2790,2790,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05091937631368637,0.0,0.0,0.0,0.0,0.015962820500135422,0.9840371608734131,-0.35749737213444027,0.4993857145309448,34957,70000,0.17759999632835388,0.8223999738693237,2500,0.0,1.0,2790,1.0,0.0,435,0.5301905870437622,0.4698094129562378,64275,0.17180000245571136,0.40700000524520874,0.36090001463890076,0.4553000032901764,0.6377000212669373,0.6830000281333923,0.7799999713897705,1.0,0.0
