Policy,Threshold,Lambda,Accuracy,Average Timestep
Confidence,0.5,,74.18000102043152,1.1003999710083008
Confidence,0.5257894992828369,,74.98999834060669,1.1282999515533447
Confidence,0.551578938961029,,75.84999799728394,1.1605000495910645
Confidence,0.577368438243866,,76.82999968528748,1.1928000450134277
Confidence,0.6031578779220581,,77.5600016117096,1.2239999771118164
Confidence,0.628947377204895,,78.4500002861023,1.2582999467849731
Confidence,0.6547368764877319,,79.40000295639038,1.302899956703186
Confidence,0.6805263161659241,,80.51000237464905,1.3562999963760376
Confidence,0.706315815448761,,81.33000135421753,1.4048000574111938
Confidence,0.7321052551269531,,82.16999769210815,1.4527000188827515
Confidence,0.75789475440979,,83.160001039505,1.5205999612808228
Confidence,0.7836841940879822,,84.21000242233276,1.5950000286102295
Confidence,0.8094736933708191,,85.33999919891357,1.6753000020980835
Confidence,0.8352631330490112,,86.54000163078308,1.7699999809265137
Confidence,0.8610526323318481,,87.79000043869019,1.8904999494552612
Confidence,0.8868421316146851,,89.12000060081482,2.0355000495910645
Confidence,0.9126315712928772,,90.49999713897705,2.238300085067749
Confidence,0.9384210705757141,,92.11000204086304,2.507999897003174
Confidence,0.9642105102539062,,93.66999864578247,2.9128000736236572
Confidence,0.9900000095367432,,95.85999846458435,3.8833000659942627
Confidence Stability,0.5,,86.47000193595886,2.350100040435791
Confidence Stability,0.5257894992828369,,86.97999715805054,2.373300075531006
Confidence Stability,0.551578938961029,,87.38999962806702,2.3956000804901123
Confidence Stability,0.577368438243866,,87.91999816894531,2.4202001094818115
Confidence Stability,0.6031578779220581,,88.34999799728394,2.4505999088287354
Confidence Stability,0.628947377204895,,88.66000175476074,2.476599931716919
Confidence Stability,0.6547368764877319,,89.12000060081482,2.5092999935150146
Confidence Stability,0.6805263161659241,,89.56999778747559,2.5409998893737793
Confidence Stability,0.706315815448761,,90.04999995231628,2.5789999961853027
Confidence Stability,0.7321052551269531,,90.420001745224,2.6180999279022217
Confidence Stability,0.75789475440979,,90.89999794960022,2.662600040435791
Confidence Stability,0.7836841940879822,,91.40999913215637,2.7146999835968018
Confidence Stability,0.8094736933708191,,91.80999994277954,2.7692999839782715
Confidence Stability,0.8352631330490112,,92.53000020980835,2.8427000045776367
Confidence Stability,0.8610526323318481,,93.11000108718872,2.9272000789642334
Confidence Stability,0.8868421316146851,,93.66000294685364,3.029099941253662
Confidence Stability,0.9126315712928772,,94.23999786376953,3.1602001190185547
Confidence Stability,0.9384210705757141,,95.06000280380249,3.3480000495910645
Confidence Stability,0.9642105102539062,,95.80000042915344,3.6568000316619873
Confidence Stability,0.9900000095367432,,96.68999910354614,4.434299945831299
Cost-Aware Oracle,,8.0,69.37000155448914,1.0
Cost-Aware Oracle,,16.0,69.37000155448914,1.0
Cost-Aware Oracle,,4.0,86.61999702453613,1.1725000143051147
Cost-Aware Oracle,,2.0,93.63999962806702,1.3538000583648682
Cost-Aware Oracle,,0.0,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.01,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.02,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.05,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.1,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.2,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.5,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,1.0,98.54000210762024,1.5866999626159668
Earliest Correct Oracle,,,98.54000210762024,1.6888999938964844
