Timestep,Confidence Bin,Lower Bound,Upper Bound,Number of Samples,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
1,"[0.00, 0.50)",0.0,0.5,879,20.477814972400665,72.46871590614319,5.233219638466835,1.820250228047371
1,"[0.50, 0.60)",0.5,0.6,787,29.860228300094604,59.08513069152832,9.529860317707062,1.5247776173055172
1,"[0.60, 0.70)",0.6,0.7,776,35.05154550075531,53.865981101989746,9.278350323438644,1.8041236326098442
1,"[0.70, 0.80)",0.7,0.8,831,45.36702632904053,44.5246696472168,8.303248882293701,1.8050542101264
1,"[0.80, 0.90)",0.8,0.9,1133,50.22065043449402,37.59929537773132,9.620476514101028,2.5595763698220253
1,"[0.90, 0.95)",0.9,0.95,939,64.32374715805054,26.94355845451355,6.49627298116684,2.2364217787981033
1,"[0.95, 0.99)",0.95,0.99,1696,80.30660152435303,14.268867671489716,4.068396240472794,1.356132049113512
1,"[0.99, 1.00]",0.99,1.0,2959,94.59276795387268,3.582291305065155,1.2842176482081413,0.5407232325524092
2,"[0.00, 0.50)",0.0,0.5,432,18.287037312984467,62.5,13.657407462596893,5.55555559694767
2,"[0.50, 0.60)",0.5,0.6,568,33.80281627178192,47.359153628349304,17.07746535539627,1.7605634406208992
2,"[0.60, 0.70)",0.6,0.7,597,40.36850929260254,41.038525104522705,15.57788997888565,3.0150754377245903
2,"[0.70, 0.80)",0.7,0.8,635,53.22834849357605,31.338581442832947,11.811023950576782,3.6220472306013107
2,"[0.80, 0.90)",0.8,0.9,933,67.84566044807434,22.18649536371231,7.288317382335663,2.67952848225832
2,"[0.90, 0.95)",0.9,0.95,893,78.61142158508301,15.341545641422272,3.471444547176361,2.5755878537893295
2,"[0.95, 0.99)",0.95,0.99,1806,91.30675792694092,5.813953652977943,1.4950166456401348,1.384274661540985
2,"[0.99, 1.00]",0.99,1.0,4136,98.64603281021118,0.8220503106713295,0.2176015404984355,0.31431333627551794
3,"[0.00, 0.50)",0.0,0.5,342,30.409356951713562,58.77193212509155,5.55555559694767,5.263157933950424
3,"[0.50, 0.60)",0.5,0.6,575,45.56521773338318,47.65217304229736,4.173913225531578,2.60869562625885
3,"[0.60, 0.70)",0.6,0.7,624,53.04487347602844,40.06410241127014,3.044871799647808,3.8461539894342422
3,"[0.70, 0.80)",0.7,0.8,697,61.97991371154785,32.137733697891235,3.0129125341773033,2.8694404289126396
3,"[0.80, 0.90)",0.8,0.9,952,72.79411554336548,22.584033012390137,1.6806723549962044,2.9411764815449715
3,"[0.90, 0.95)",0.9,0.95,903,85.49280166625977,12.403100728988647,1.1074197478592396,0.9966777637600899
3,"[0.95, 0.99)",0.95,0.99,1840,91.6847825050354,5.6521739810705185,0.9782608598470688,1.6847826540470123
3,"[0.99, 1.00]",0.99,1.0,4067,98.42635989189148,0.8605851791799068,0.12294073821976781,0.5901155527681112
4,"[0.00, 0.50)",0.0,0.5,213,32.863849401474,52.58215665817261,8.45070406794548,6.103286519646645
4,"[0.50, 0.60)",0.5,0.6,384,41.14583432674408,43.48958432674408,9.11458358168602,6.25
4,"[0.60, 0.70)",0.6,0.7,383,57.18015432357788,35.2480411529541,3.1331591308116913,4.4386424124240875
4,"[0.70, 0.80)",0.7,0.8,463,69.54643726348877,22.678185999393463,4.103671759366989,3.6717060953378677
4,"[0.80, 0.90)",0.8,0.9,793,81.21059536933899,12.610340118408203,1.8915509805083275,4.287515580654144
4,"[0.90, 0.95)",0.9,0.95,754,88.72678875923157,7.559681683778763,1.5915120020508766,2.122015878558159
4,"[0.95, 0.99)",0.95,0.99,1810,95.0276255607605,2.541436441242695,0.8287292905151844,1.6022099182009697
4,"[0.99, 1.00]",0.99,1.0,5200,99.4038462638855,0.11538461549207568,0.03846153849735856,0.4423076752573252
