Confidence Bin,Lower Bound,Upper Bound,Number of Prefix Predictions,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
"[0.00, 0.50)",0.0,0.5,2321,24.859973788261414,57.43213891983032,8.401551097631454,9.306333214044571
"[0.50, 0.60)",0.5,0.6,3079,38.48652243614197,44.33257579803467,10.328028351068497,6.852874159812927
"[0.60, 0.70)",0.6,0.7,3185,49.356359243392944,36.73469424247742,7.629512995481491,6.279435008764267
"[0.70, 0.80)",0.7,0.8,3580,60.837990045547485,26.899442076683044,5.865921825170517,6.396648287773132
"[0.80, 0.90)",0.8,0.9,5765,74.13703203201294,17.467476427555084,3.8681700825691223,4.527319967746735
"[0.90, 0.95)",0.9,0.95,5759,85.18840074539185,10.158013552427292,2.1531516686081886,2.500434033572674
"[0.95, 0.99)",0.95,0.99,13849,93.86959075927734,3.675355762243271,0.9675788693130016,1.4874720014631748
"[0.99, 1.00]",0.99,1.0,42462,99.19692873954773,0.43097357265651226,0.12717252830043435,0.24492486845701933
