From Timestep,To Timestep,Population Regression Rate,Conditional Regression Rate,Correct Samples at From Timestep,Conditional Metric Valid
1,2,3.78787899017334,8.333333969116211,120,True
2,3,4.545454502105713,7.692307949066162,156,True
3,4,1.89393949508667,2.9585800170898438,169,True
4,5,1.89393949508667,2.7472527027130127,182,True
5,6,2.2727272510528564,3.1914894580841064,188,True
6,7,1.5151515007019043,2.127659559249878,188,True
7,8,1.5151515007019043,2.127659559249878,188,True
