epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.250966881974538,1.250966881974538,0.0,0.0,0.14800045572916667,1.0,58.836666650772095,0.0,78.35999985694885,78.35999985694885,78.35999985694885,0.2393920530796051,0.2393920530796051,0.2393920530796051,8.0,8.0,8.0,8.0,8.0,8.0,1.9151364246368408,1.9151364246368408,8.0,1.9151364246368408
2,0.5083075814406077,0.5083075814406077,0.0,0.0,0.25291979166666667,1.0,81.47999999682109,0.0,81.85999998092652,81.85999998092652,81.85999998092652,0.26270960326194764,0.26270960326194764,0.26270960326194764,8.0,8.0,8.0,8.0,8.0,8.0,2.101676826095581,2.101676826095581,8.0,2.101676826095581
3,0.43260647118886314,0.43260647118886314,0.0,0.0,0.26909973958333333,1.0,84.45333331743876,0.0,83.96999990463257,83.96999990463257,83.96999990463257,0.27436069459915163,0.27436069459915163,0.27436069459915163,8.0,8.0,8.0,8.0,8.0,8.0,2.194885556793213,2.194885556793213,8.0,2.194885556793213
4,0.3936577132701874,0.3936577132701874,0.0,0.0,0.277974609375,1.0,85.81166670163472,0.0,84.55999987602235,84.55999987602235,84.55999987602235,0.27536823077201844,0.27536823077201844,0.27536823077201844,8.0,8.0,8.0,8.0,8.0,8.0,2.2029458461761475,2.2029458461761475,8.0,2.2029458461761475
5,0.37043373018900555,0.37043373018900555,0.0,0.0,0.276362109375,1.0,86.72000001589457,0.0,85.72999979019166,85.72999979019166,85.72999979019166,0.2768146336078644,0.2768146336078644,0.2768146336078644,8.0,8.0,8.0,8.0,8.0,8.0,2.214517068862915,2.214517068862915,8.0,2.214517068862915
