epoch,train_loss,train_ce_loss,train_spike_cost,train_raw_spike_rate,train_gated_spike_rate,train_time_cost,train_acc,test_acc,test_spike_rate,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,energy_proxy,prefix_energy_proxy
1,0.9036407819430033,0.9036407819430033,0.19471979166666667,0.19471979166666667,0.19471979166666667,1.0,69.13333333333334,81.63999995231629,0.2539848210334778,0.2539848210334778,0.2539848210334778,0.2539848210334778,8.0,8.0,2.0318785682678224,2.0318785682678224
2,0.4323639307657878,0.4323639307657878,0.26357200520833335,0.26357200520833335,0.26357200520833335,1.0,84.40000000317892,84.74999999046325,0.26753999099731446,0.26753999099731446,0.26753999099731446,0.26753999099731446,8.0,8.0,2.1403199279785157,2.1403199279785157
3,0.37437450257937116,0.37437450257937116,0.26863046875,0.26863046875,0.26863046875,1.0,86.595,85.97000004768371,0.269048992061615,0.269048992061615,0.269048992061615,0.269048992061615,8.0,8.0,2.15239193649292,2.15239193649292
4,0.343581511481603,0.343581511481603,0.26989401041666666,0.26989401041666666,0.26989401041666666,1.0,87.82000000635783,87.08000007629394,0.26948917055130006,0.26948917055130006,0.26948917055130006,0.26948917055130006,8.0,8.0,2.1559133644104005,2.1559133644104005
5,0.326216345612208,0.326216345612208,0.267559375,0.267559375,0.267559375,1.0,88.36833333969116,87.0900000858307,0.26563738050460817,0.26563738050460817,0.26563738050460817,0.26563738050460817,8.0,8.0,2.1250990440368653,2.1250990440368653
6,0.31054576117197674,0.31054576117197674,0.265505078125,0.265505078125,0.265505078125,1.0,88.93333333651225,88.60999996185302,0.264416893863678,0.264416893863678,0.264416893863678,0.264416893863678,8.0,8.0,2.115335150909424,2.115335150909424
7,0.29881465566953025,0.29881465566953025,0.26401497395833334,0.26401497395833334,0.26401497395833334,1.0,89.28666666984559,88.85000007629395,0.2634474039077759,0.2634474039077759,0.2634474039077759,0.2634474039077759,8.0,8.0,2.107579231262207,2.107579231262207
8,0.28284979566733043,0.28284979566733043,0.26666575520833335,0.26666575520833335,0.26666575520833335,1.0,89.88833333969116,89.05000008583069,0.27064707627296447,0.27064707627296447,0.27064707627296447,0.27064707627296447,8.0,8.0,2.1651766101837158,2.1651766101837158
9,0.2767280296643575,0.2767280296643575,0.26780403645833334,0.26780403645833334,0.26780403645833334,1.0,90.13833333333334,89.1599999332428,0.2683515123844147,0.2683515123844147,0.2683515123844147,0.2683515123844147,8.0,8.0,2.1468120990753174,2.1468120990753174
10,0.26832672061920165,0.26832672061920165,0.26786966145833335,0.26786966145833335,0.26786966145833335,1.0,90.43333333651225,89.42999995231628,0.2711322630405426,0.2711322630405426,0.2711322630405426,0.2711322630405426,8.0,8.0,2.169058104324341,2.169058104324341
11,0.2629967345476151,0.2629967345476151,0.26745481770833335,0.26745481770833335,0.26745481770833335,1.0,90.69500000635783,89.8799999332428,0.26442326226234436,0.26442326226234436,0.26442326226234436,0.26442326226234436,8.0,8.0,2.115386098098755,2.115386098098755
12,0.2560493162075678,0.2560493162075678,0.26705130208333333,0.26705130208333333,0.26705130208333333,1.0,90.8666666730245,89.40999994277954,0.26788345465660096,0.26788345465660096,0.26788345465660096,0.26788345465660096,8.0,8.0,2.1430676372528077,2.1430676372528077
13,0.25321425850788754,0.25321425850788754,0.265854296875,0.265854296875,0.265854296875,1.0,90.95,90.13000008583069,0.2688323209762573,0.2688323209762573,0.2688323209762573,0.2688323209762573,8.0,8.0,2.1506585678100585,2.1506585678100585
14,0.24561740912596386,0.24561740912596386,0.26654856770833335,0.26654856770833335,0.26654856770833335,1.0,91.22000000317891,90.18999995231628,0.26763442764282225,0.26763442764282225,0.26763442764282225,0.26763442764282225,8.0,8.0,2.141075421142578,2.141075421142578
15,0.23943783608277638,0.23943783608277638,0.26891901041666666,0.26891901041666666,0.26891901041666666,1.0,91.545,89.73000004768372,0.2701469804763794,0.2701469804763794,0.2701469804763794,0.2701469804763794,8.0,8.0,2.1611758438110353,2.1611758438110353
16,0.2368309061129888,0.2368309061129888,0.2687680989583333,0.2687680989583333,0.2687680989583333,1.0,91.57000000635783,89.91999994277954,0.2674918032646179,0.2674918032646179,0.2674918032646179,0.2674918032646179,8.0,8.0,2.1399344261169433,2.1399344261169433
17,0.2338791337410609,0.2338791337410609,0.26576223958333334,0.26576223958333334,0.26576223958333334,1.0,91.71166666984558,90.2300000667572,0.2682527100563049,0.2682527100563049,0.2682527100563049,0.2682527100563049,8.0,8.0,2.1460216804504393,2.1460216804504393
18,0.23106491776307425,0.23106491776307425,0.265980859375,0.265980859375,0.265980859375,1.0,91.72500000317892,90.11000008583069,0.2636973515033722,0.2636973515033722,0.2636973515033722,0.2636973515033722,8.0,8.0,2.1095788120269776,2.1095788120269776
19,0.22677718769709268,0.22677718769709268,0.2635259114583333,0.2635259114583333,0.2635259114583333,1.0,91.905,90.83999997138977,0.269511466884613,0.269511466884613,0.269511466884613,0.269511466884613,8.0,8.0,2.156091735076904,2.156091735076904
20,0.22503399538199106,0.22503399538199106,0.26543190104166664,0.26543190104166664,0.26543190104166664,1.0,91.915,90.87999996185303,0.2628834656238556,0.2628834656238556,0.2628834656238556,0.2628834656238556,8.0,8.0,2.103067724990845,2.103067724990845
