epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.9421476280848184,1.2931654995918274,1.2873745481491088,0.0004382801474692921,0.1368552734375,0.9706243112564087,57.93166667620341,58.15333334287008,78.09999988555909,78.04999964714051,78.09999988555909,0.23356172475814818,0.2264171338558197,0.23827555875778197,7.7660064697265625,8.0,7.761580467224121,7.770432472229004,8.0,8.0,1.7583569263812409,1.9062044700622558,8.0,1.9062044700622558
2,0.7792406563123068,0.511595286432902,0.5101850137869517,0.00031721919486299156,0.2378490234375,0.9704965595245362,81.33666667620341,81.37000000317892,81.90999973297119,81.79999996185303,81.90999973297119,0.25421632747650147,0.24648459453582763,0.25945614404678347,7.761394500732422,8.0,7.7478108406066895,7.774977684020996,8.0,8.0,1.9130641765456333,2.0756491523742677,8.0,2.0756491523742677
3,0.6698587063153585,0.4340416362603505,0.4331468399365743,0.00027726618679395565,0.25261106770833336,0.9698077431360881,84.40000003178915,84.39500001907349,83.97999990463256,83.99999991416931,83.97999990463256,0.2658727499961853,0.2577464164733887,0.271303990650177,7.7552971839904785,8.0,7.731542587280273,7.779051780700684,8.0,8.0,1.9989000578597083,2.170431925201416,8.0,2.170431925201416
4,0.6164920176506042,0.39395400811831155,0.3932742910226186,0.0002781863584183156,0.25924830729166665,0.9689663067817688,85.79500001589457,85.78666669527689,84.43999965667724,84.42999963760376,84.43999965667724,0.26451628160476687,0.25634921503067015,0.2700094166755676,7.747963905334473,8.0,7.713550567626953,7.782377243041992,8.0,8.0,1.9861844652184577,2.160075333404541,8.0,2.160075333404541
5,0.5876615781466166,0.3706885407288869,0.36981363463401795,0.0003144718632878115,0.25350390625,0.9679880926132202,86.75833335558573,86.76166666348776,86.01999979019165,85.88000003814697,86.01999979019165,0.26032892928123474,0.25216043510437014,0.2664178256034851,7.739537239074707,8.0,7.694725513458252,7.78434944152832,8.0,8.0,1.9516050777115534,2.1313426048278807,8.0,2.1313426048278807
