Model,Accuracy,Soft Accuracy,Hard Accuracy,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Effective Timestep,Layer2 Effective Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Energy Proxy,Prefix Energy Proxy,Loop Energy Proxy
fixed_lif_T8,85.61999979019166,85.61999979019166,85.61999979019166,0.2762883411407471,0.2762883411407471,0.2762883411407471,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.2103067291259766,2.2103067291259766,2.2103067291259766
fixed_lif_T6,85.61999979972839,85.61999979972839,85.61999979972839,0.2762122486591339,0.2762122486591339,0.2762122486591339,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.6572734919548036,1.6572734919548036,1.6572734919548036
fixed_lif_T4,85.94000001907348,85.94000001907348,85.94000001907348,0.27723484644889834,0.27723484644889834,0.27723484644889834,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.1089393857955934,1.1089393857955934,1.1089393857955934
fixed_lif_T2,86.53999975204468,86.53999975204468,86.53999975204468,0.262417169713974,0.262417169713974,0.262417169713974,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.524834339427948,0.524834339427948,0.524834339427948
soft_gate_T8,85.51999980926513,85.61000004768371,85.51999980926513,0.2572796592235565,0.23484530301094056,0.27123237972259523,7.320344924926758,8.0,8.0,7.320344924926758,7.320344924926758,8.0,8.0,1.7191486220390253,2.169859037780762,2.169859037780762
global_chronoskip_T8,85.51999980926513,85.61000004768371,85.51999980926513,0.2572796592235565,0.23484530301094056,0.27123237972259523,7.320344924926758,8.0,8.0,7.320344924926758,7.320344924926758,8.0,8.0,1.7191486220390253,2.169859037780762,2.169859037780762
global_chronoskip_s2h_T8,86.13000002861023,85.97999979019166,86.13000002861023,0.25687219414711,0.23501966576576233,0.271007461643219,7.3349432945251465,8.0,8.0,7.3349432945251465,7.3349432945251465,8.0,8.0,1.7238559214901195,2.168059693145752,2.168059693145752
layerwise_chronoskip_T8,85.61000001907348,85.69000004768371,85.61000001907348,0.25779740843772886,0.23608375849723817,0.27481297473907473,7.295802116394043,8.0,8.0,7.1807169914245605,7.410886764526367,8.0,8.0,1.7224203848904105,2.198503797912598,2.198503797912598
layerwise_chronoskip_s2h_T8,85.95999978065491,85.89000002861023,85.95999978065491,0.25420442276000976,0.23302133750915527,0.27159385280609133,7.302816390991211,8.0,8.0,7.188694477081299,7.416937828063965,8.0,8.0,1.7017120430125543,2.1727508224487306,2.1727508224487306
