Confidence Bin,Lower Bound,Upper Bound,Number of Prefix Predictions,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
"[0.00, 0.50)",0.0,0.5,289,20.06920427083969,26.29757821559906,9.342560917139053,44.290658831596375
"[0.50, 0.60)",0.5,0.6,221,36.65158450603485,21.71945720911026,8.59728530049324,33.03167521953583
"[0.60, 0.70)",0.6,0.7,265,41.886791586875916,9.433962404727936,3.7735849618911743,44.905659556388855
"[0.70, 0.80)",0.7,0.8,269,54.27509546279907,3.345724940299988,1.858736015856266,40.52044749259949
"[0.80, 0.90)",0.8,0.9,357,57.983195781707764,3.641456738114357,1.1204482056200504,37.254902720451355
"[0.90, 0.95)",0.9,0.95,297,71.04377150535583,1.0101010091602802,0.6734006572514772,27.272728085517883
"[0.95, 0.99)",0.95,0.99,326,81.59509301185608,0.30674845911562443,0.0,18.09815913438797
"[0.99, 1.00]",0.99,1.0,88,85.22727489471436,0.0,0.0,14.772726595401764
