Policy,Threshold,Lambda,Accuracy,Average Timestep
Fixed T,1.0,,48.86363744735718,1.0
Entropy,2.1454854011535645,,48.86363744735718,1.0
Entropy,2.2716903686523438,,48.86363744735718,1.0
Entropy,2.397895336151123,,48.86363744735718,1.0
Margin,0.0,,48.86363744735718,1.0
Cost-Aware Oracle,,8.0,48.86363744735718,1.0
Cost-Aware Oracle,,16.0,48.86363744735718,1.0
Entropy,1.7668702602386475,,49.242424964904785,1.053030252456665
Margin,0.04999999701976776,,49.62121248245239,1.0833333730697632
Cost-Aware Oracle,,4.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,5.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,6.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,7.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,2.75,63.63636255264282,1.200757622718811
Cost-Aware Oracle,,3.0,63.63636255264282,1.200757622718811
Cost-Aware Oracle,,3.5,63.63636255264282,1.200757622718811
Cost-Aware Oracle,,2.0,67.80303120613098,1.325757622718811
Cost-Aware Oracle,,2.25,67.80303120613098,1.325757622718811
Cost-Aware Oracle,,2.5,67.80303120613098,1.325757622718811
Cost-Aware Oracle,,1.6,70.83333134651184,1.446969747543335
Cost-Aware Oracle,,1.75,70.83333134651184,1.446969747543335
Cost-Aware Oracle,,1.35,71.96969985961914,1.503787875175476
Cost-Aware Oracle,,1.5,71.96969985961914,1.503787875175476
Cost-Aware Oracle,,1.15,72.34848737716675,1.5265151262283325
Cost-Aware Oracle,,1.25,72.34848737716675,1.5265151262283325
Cost-Aware Oracle,,0.0,72.72727489471436,1.553030252456665
Cost-Aware Oracle,,0.5,72.72727489471436,1.553030252456665
Cost-Aware Oracle,,1.0,72.72727489471436,1.553030252456665
Cost-Aware Oracle,,1.1,72.72727489471436,1.553030252456665
