epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,train_final_ce,train_prefix_ce,train_temporal_loss,train_total_loss,train_selected_transition_fraction,train_violating_transition_fraction,val_loss,val_acc,val_soft_acc,val_hard_acc,val_raw_spike_rate,val_gated_spike_rate,val_prefix_spike_rate,val_effective_timestep,val_hard_effective_timestep,val_layer1_effective_timestep,val_layer2_effective_timestep,val_layer1_hard_timestep,val_layer2_hard_timestep,val_energy_proxy,val_prefix_energy_proxy,val_executed_timestep,val_loop_energy_proxy,val_final_accuracy,val_mean_prefix_accuracy,val_ever_regressed_fraction,val_mean_population_regression,val_mean_conditional_regression,val_beneficial_transition_fraction,val_destructive_transition_fraction,val_stable_correct_fraction
1,1.9811419566656763,1.9811419566656763,0.0,0.0,0.042842148074971,1.0,0.0,0.0,0.0,0.0,28.538283145621314,0.0,1.9811419566656763,2.0255238984964286,0.0,1.9811419566656763,0.0,0.0,1.324825022941412,51.162790753120596,51.162790753120596,0.0,0.0661144147085589,0.0661144147085589,0.0661144147085589,8.0,8.0,8.0,8.0,8.0,8.0,0.5289153176684712,0.5289153176684712,8.0,0.5289153176684712,51.16279220581055,49.70930099487305,30.147058486938477,3.2558138370513916,6.577180862426758,3.7209300994873047,3.2558138370513916,51.16279220581055
2,1.240761004025311,1.2350068916577475,0.0,0.0,0.07340192684164733,1.0,0.0,0.0,0.0,0.0,53.7122969837587,0.0,1.2350068916577475,1.3008642412393663,0.005754104789493394,1.240761004025311,0.013092476883233286,0.1934519228968432,0.9798080588496009,63.720930066219594,63.720930066219594,0.0,0.06991204203561295,0.06991204203561295,0.06991204203561295,8.0,8.0,8.0,8.0,8.0,8.0,0.5592963362849036,0.5592963362849036,8.0,0.5592963362849036,63.72092819213867,60.930233001708984,22.9299373626709,2.7906975746154785,4.610318183898926,3.7209300994873047,2.7906975746154785,63.72092819213867
3,1.0406756188089499,1.0380175813444805,0.0,0.0,0.07464245577146171,1.0,0.0,0.0,0.0,0.0,58.700696235466445,0.0,1.0380175813444805,1.1168070284783702,0.002658038724779979,1.0406756188089499,0.023036129608439183,0.26335150141727065,1.0479227570600287,58.60465099645216,58.60465099645216,0.0,0.07114400600278101,0.07114400600278101,0.07114400600278101,8.0,8.0,8.0,8.0,8.0,8.0,0.5691520480222481,0.5691520480222481,8.0,0.5691520480222481,58.604652404785156,55.930233001708984,20.289854049682617,1.9933555126190186,3.5885167121887207,3.388704299926758,1.9933555126190186,58.604652404785156
4,0.9769067819599763,0.9439705859204179,0.0,0.0,0.07856414157663863,1.0,0.0,0.0,0.0,0.0,60.90487238979118,0.0,0.9439705859204179,1.0273023509094168,0.032936200662272964,0.9769067819599763,0.05502154723051806,0.3957445735582896,0.8627714839092521,64.18604676113573,64.18604676113573,0.0,0.0745131145729575,0.0745131145729575,0.0745131145729575,8.0,8.0,8.0,8.0,8.0,8.0,0.59610491658366,0.59610491658366,8.0,0.59610491658366,64.18605041503906,62.73255920410156,17.307693481445312,2.059800624847412,3.294367790222168,3.388704299926758,2.059800624847412,64.18605041503906
5,0.830713305285248,0.8247493231656103,0.0,0.0,0.08189091162449245,1.0,0.0,0.0,0.0,0.0,66.70533659286676,0.0,0.8247493231656103,0.92053015326126,0.005963983001260912,0.830713305285248,0.08070931854180283,0.3736014722948008,0.7159587682679642,71.62790700446727,71.62790700446727,0.0,0.0842016932229663,0.0842016932229663,0.0842016932229663,8.0,8.0,8.0,8.0,8.0,8.0,0.6736135457837304,0.6736135457837304,8.0,0.6736135457837304,71.6279067993164,68.66279602050781,20.0,2.5249171257019043,3.7000973224639893,4.186046600341797,2.5249171257019043,71.6279067993164
6,0.7642158665402583,0.7603505314641098,0.0,0.0,0.08732898827218677,1.0,0.0,0.0,0.0,0.0,68.79350354942534,0.0,0.7603505314641098,0.8662992295422299,0.0038653373504338438,0.7642158665402583,0.11004309434002901,0.2866194806215105,0.6735411605169607,73.95348839981611,73.95348839981611,0.0,0.08205035561045936,0.08205035561045936,0.08205035561045936,8.0,8.0,8.0,8.0,8.0,8.0,0.6564028448836748,0.6564028448836748,8.0,0.6564028448836748,73.95348358154297,70.52325439453125,17.877094268798828,2.5249171257019043,3.605313301086426,4.252491474151611,2.5249171257019043,73.95348358154297
7,0.7285469951596448,0.7234674241316015,0.0,0.0,0.08655110865900523,1.0,0.0,0.0,0.0,0.0,69.4895592338801,0.0,0.7234674241316015,0.8354113323229372,0.005079566816563811,0.7285469951596448,0.1219754787097121,0.2949034546754753,0.6717890437259231,73.02325573078421,73.02325573078421,0.0,0.08579779260380324,0.08579779260380324,0.08579779260380324,8.0,8.0,8.0,8.0,8.0,8.0,0.6863823408304259,0.6863823408304259,8.0,0.6863823408304259,73.02325439453125,69.06976318359375,16.666667938232422,2.192690849304199,3.2007761001586914,4.318936824798584,2.192690849304199,73.02325439453125
8,0.66169250260373,0.6566845720715976,0.0,0.0,0.08914644812209976,1.0,0.0,0.0,0.0,0.0,72.15777269095666,0.0,0.6566845720715976,0.7727357951228414,0.005007930313887425,0.66169250260373,0.13689095838094809,0.33436417724859413,0.6837766597437304,73.02325573078421,73.02325573078421,0.0,0.08878262271714765,0.08878262271714765,0.08878262271714765,8.0,8.0,8.0,8.0,8.0,8.0,0.7102609817371812,0.7102609817371812,8.0,0.7102609817371812,73.02325439453125,67.9651107788086,19.31818199157715,2.5913619995117188,3.853754997253418,5.116279125213623,2.5913619995117188,73.02325439453125
9,0.6128023630505095,0.6081422169081296,0.0,0.0,0.09024678028929814,1.0,0.0,0.0,0.0,0.0,74.82598613420384,0.0,0.6081422169081296,0.7361676771790135,0.004660146222330993,0.6128023630505095,0.1756712047862896,0.33738775610094,0.6117367403451787,73.48837212074635,73.48837212074635,0.0,0.09055280990378801,0.09055280990378801,0.09055280990378801,8.0,8.0,8.0,8.0,8.0,8.0,0.7244224792303041,0.7244224792303041,8.0,0.7244224792303041,73.48837280273438,70.34883117675781,19.35483741760254,2.6578073501586914,3.802281141281128,4.983388423919678,2.6578073501586914,73.48837280273438
10,0.571719378163809,0.5661149005602242,0.0,0.0,0.09581995563551333,1.0,0.0,0.0,0.0,0.0,77.49419978489179,0.0,0.5661149005602242,0.7250479055944562,0.005604479666648048,0.571719378163809,0.20285052379156762,0.3294387389225086,0.5957716315291649,74.883721068848,74.883721068848,0.0,0.09304396225962527,0.09304396225962527,0.09304396225962527,8.0,8.0,8.0,8.0,8.0,8.0,0.7443516980770022,0.7443516980770022,8.0,0.7443516980770022,74.88372039794922,71.51162719726562,17.83783721923828,2.392026662826538,3.36763334274292,5.581395149230957,2.392026662826538,74.88372039794922
