Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Entropy,0.0,,65.15151262283325,8.0,1.0,34.84848737716675,264
Entropy,0.12620501220226288,,65.90909361839294,7.28787899017334,0.9109848737716675,34.090906381607056,264
Entropy,0.25241002440452576,,67.42424368858337,6.344696998596191,0.7930871248245239,32.575756311416626,264
Entropy,0.37861502170562744,,67.42424368858337,5.409090995788574,0.6761363744735718,32.575756311416626,264
Entropy,0.5048200488090515,,67.42424368858337,4.318181991577148,0.5397727489471436,32.575756311416626,264
Entropy,0.6310250759124756,,65.90909361839294,3.6022727489471436,0.45028409361839294,34.090906381607056,264
Entropy,0.7572300434112549,,61.742424964904785,2.9962120056152344,0.3745265007019043,38.257575035095215,264
Entropy,0.883435070514679,,57.95454382896423,2.3333332538604736,0.2916666567325592,42.04545617103577,264
Entropy,1.009640097618103,,57.575756311416626,2.071969747543335,0.25899621844291687,42.424243688583374,264
Entropy,1.1358450651168823,,53.03030014038086,1.670454502105713,0.2088068127632141,46.96969985961914,264
Entropy,1.2620502710342407,,50.0,1.454545497894287,0.1818181872367859,50.0,264
Entropy,1.38825523853302,,48.48484992980957,1.3068181276321411,0.16335226595401764,51.51515007019043,264
Entropy,1.5144602060317993,,46.9696968793869,1.170454502105713,0.1463068127632141,53.0303031206131,264
Entropy,1.6406652927398682,,46.21212184429169,1.0606060028076172,0.13257575035095215,53.78787815570831,264
Entropy,1.7668702602386475,,46.21212184429169,1.003787875175476,0.1254734843969345,53.78787815570831,264
Entropy,1.8930752277374268,,46.21212184429169,1.003787875175476,0.1254734843969345,53.78787815570831,264
Entropy,2.019280195236206,,46.21212184429169,1.003787875175476,0.1254734843969345,53.78787815570831,264
Entropy,2.1454854011535645,,46.21212184429169,1.0,0.125,53.78787815570831,264
Entropy,2.2716903686523438,,46.21212184429169,1.0,0.125,53.78787815570831,264
Entropy,2.397895336151123,,46.21212184429169,1.0,0.125,53.78787815570831,264
