Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Margin,0.0,,46.21212184429169,1.0,0.125,53.78787815570831,264
Margin,0.04999999701976776,,47.34848439693451,1.0568181276321411,0.13210226595401764,52.65151560306549,264
Margin,0.09999999403953552,,50.757575035095215,1.1174242496490479,0.13967803120613098,49.242424964904785,264
Margin,0.14999999105930328,,52.65151262283325,1.204545497894287,0.1505681872367859,47.34848737716675,264
Margin,0.19999998807907104,,56.060606241226196,1.321969747543335,0.16524621844291687,43.939393758773804,264
Margin,0.2499999850988388,,56.060606241226196,1.4696969985961914,0.18371212482452393,43.939393758773804,264
Margin,0.29999998211860657,,56.81818127632141,1.6628787517547607,0.2078598439693451,43.18181872367859,264
Margin,0.34999996423721313,,57.95454382896423,1.8560606241226196,0.23200757801532745,42.04545617103577,264
Margin,0.3999999761581421,,59.46969985961914,2.053030252456665,0.25662878155708313,40.53030014038086,264
Margin,0.44999998807907104,,61.36363744735718,2.3446969985961914,0.2930871248245239,38.63636255264282,264
Margin,0.5,,62.87878751754761,2.659090995788574,0.3323863744735718,37.12121248245239,264
Margin,0.550000011920929,,63.257575035095215,2.920454502105713,0.3650568127632141,36.742424964904785,264
Margin,0.6000000238418579,,65.53030014038086,3.2196969985961914,0.4024621248245239,34.46969985961914,264
Margin,0.6499999761581421,,67.04545617103577,3.6818182468414307,0.46022728085517883,32.95454382896423,264
Margin,0.699999988079071,,68.18181872367859,4.113636493682861,0.5142045617103577,31.81818127632141,264
Margin,0.75,,68.18181872367859,4.5,0.5625,31.81818127632141,264
Margin,0.7999999523162842,,68.5606062412262,5.098484992980957,0.6373106241226196,31.439393758773804,264
Margin,0.8499999642372131,,67.80303120613098,5.609848499298096,0.701231062412262,32.19696879386902,264
Margin,0.8999999761581421,,66.66666865348816,6.318181991577148,0.7897727489471436,33.33333134651184,264
