comparator_large_drop_fraction_0.05,comparator_large_drop_fraction_0.10,comparator_mean_delta_p_y,comparator_mean_drop_magnitude,comparator_median_delta_p_y,comparator_probability_drop_fraction,comparison,from_t,mean_drop_magnitude_difference,probability_drop_fraction_difference,seed,selective_large_drop_fraction_0.05,selective_large_drop_fraction_0.10,selective_mean_delta_p_y,selective_mean_drop_magnitude,selective_median_delta_p_y,selective_probability_drop_fraction,subset,support_count,to_t
0.0231203343719244,0.01656653918325901,0.0027519650757312775,0.007405356504023075,4.76837158203125e-07,0.31840524077415466,final_ce,1,-0.006089762668125331,-0.23975969105958939,3,0.006007646210491657,0.004005097318440676,0.03608912602066994,0.0013155938358977437,5.435943603515625e-05,0.07864554971456528,common_correct,5493,2
0.022238975390791893,0.01583113521337509,1.6544636309845373e-05,0.007134519051760435,3.5762786865234375e-07,0.3215228021144867,final_ce,1,-0.005865086452104151,-0.2416132688522339,3,0.00546551076695323,0.003957783803343773,0.024437014013528824,0.0012694325996562839,3.4928321838378906e-05,0.07990953326225281,eligible_common_correct,5306,2
0.024144869297742844,0.01582830399274826,-0.00045918492833152413,0.006051854696124792,-1.1920928955078125e-07,0.5144198536872864,final_ce,2,-0.004963826737366617,-0.3024815618991852,3,0.0057679410092532635,0.0030851776245981455,0.023262372240424156,0.0010880279587581754,4.410743713378906e-06,0.2119382917881012,common_correct,7455,3
0.022203834727406502,0.014204937033355236,-0.0016383377369493246,0.005591119639575481,-1.1920928955078125e-07,0.5181354284286499,final_ce,2,-0.004567621159367263,-0.3024410456418991,3,0.005516480654478073,0.002896152203902602,0.015290828421711922,0.001023498480208218,2.86102294921875e-06,0.2156943827867508,eligible_common_correct,7251,3
0.009691313840448856,0.005144771654158831,0.007007782347500324,0.0018078413559123874,1.5497207641601562e-06,0.36240726709365845,final_ce,3,-0.0013305691245477647,-0.1675041764974594,3,0.003230437869206071,0.001435750164091587,0.02224801480770111,0.0004772722313646227,5.841255187988281e-06,0.19490309059619904,common_correct,8358,4
0.009153039194643497,0.004515499342232943,0.004969910252839327,0.001652215956710279,1.1920928955078125e-06,0.36575543880462646,final_ce,3,-0.0012637776089832187,-0.16817183792591095,3,0.0026848914567381144,0.0010983647080138326,0.016581596806645393,0.0003884383477270603,5.0067901611328125e-06,0.19758360087871552,eligible_common_correct,8194,4
0.008323424495756626,0.004756242502480745,0.0026913199108093977,0.0016338878776878119,0.0,0.46470651030540466,final_ce,4,-0.0008890315657481551,-0.12960758805274963,3,0.003675278276205063,0.002053831936791539,0.015054311603307724,0.0007448563119396567,5.960464477539062e-07,0.33509892225265503,common_correct,9251,5
0.007560815196484327,0.004273504484444857,0.0020660143345594406,0.0014750747941434383,0.0,0.4685513973236084,final_ce,4,-0.0008016424835659564,-0.13006794452667236,3,0.0031777338590472937,0.0016436554724350572,0.011084681376814842,0.000673432310577482,4.76837158203125e-07,0.33848345279693604,eligible_common_correct,9126,5
0.011050294153392315,0.0054735103622078896,-4.1631537897046655e-05,0.0022790967486798763,-2.0265579223632812e-06,0.613549530506134,final_ce,5,-0.0008573798695579171,-0.0926365852355957,3,0.007229164708405733,0.003717856016010046,0.004163341596722603,0.0014217168791219592,-1.1920928955078125e-07,0.5209129452705383,common_correct,9683,6
0.009567387402057648,0.00467970035970211,-0.0001624277647351846,0.0020336653105914593,-2.0265579223632812e-06,0.6139767169952393,final_ce,5,-0.000730763073079288,-0.09130614995956421,3,0.006343593820929527,0.0032237935811281204,0.0033098491840064526,0.0013029022375121713,-1.1920928955078125e-07,0.522670567035675,eligible_common_correct,9616,6
0.009209987707436085,0.003274662187322974,0.00017750603728927672,0.001896388246677816,-1.7881393432617188e-06,0.6279165148735046,final_ce,6,-0.0007958785863593221,-0.14040115475654602,3,0.004809660371392965,0.0028653296176344156,0.003632310079410672,0.0011005096603184938,0.0,0.4875153601169586,common_correct,9772,7
0.00844055600464344,0.0027792074251919985,-0.00012644031085073948,0.001747555797919631,-1.9073486328125e-06,0.6303654313087463,final_ce,6,-0.0007766400231048465,-0.1411219835281372,3,0.00422027800232172,0.0023674729745835066,0.002960753161460161,0.0009709157748147845,0.0,0.48924344778060913,eligible_common_correct,9715,7
0.009576202370226383,0.004686226602643728,0.00030212741694413126,0.001886760350316763,-1.0728836059570312e-06,0.5819070935249329,final_ce,7,-0.0006947400979697704,0.0013243556022644043,3,0.0062143439427018166,0.0026487368158996105,0.0010619296226650476,0.0011920202523469925,-5.960464477539062e-07,0.5832314491271973,common_correct,9816,8
0.008798854425549507,0.004399427212774754,7.018913493084256e-06,0.0018034453969448805,-1.1920928955078125e-06,0.5830775499343872,final_ce,7,-0.0006629414856433868,0.001227736473083496,3,0.005831798538565636,0.0025578064378350973,0.0006744081038050354,0.0011405039113014936,-5.960464477539062e-07,0.5843052864074707,eligible_common_correct,9774,8
0.023591550067067146,0.015492958016693592,0.01276439055800438,0.006963980849832296,1.4781951904296875e-05,0.2718309760093689,final_ce,1,-0.004598736297339201,-0.08961266279220581,4,0.009154929779469967,0.00616197194904089,0.03106044977903366,0.0023652445524930954,1.5020370483398438e-05,0.18221831321716309,common_correct,5680,2
0.021751051768660545,0.013891427777707577,0.007299250457435846,0.006370633840560913,1.0609626770019531e-05,0.2765490710735321,final_ce,1,-0.004220245173200965,-0.08992871642112732,4,0.00822518765926361,0.005300676450133324,0.021573876962065697,0.002150388667359948,1.0132789611816406e-05,0.18662035465240479,eligible_common_correct,5471,2
0.022325461730360985,0.014711575582623482,0.0049715409986674786,0.00502664502710104,0.0,0.46560847759246826,final_ce,2,-0.003792664036154747,-0.1512453258037567,4,0.006323396693915129,0.0033552716486155987,0.024722076952457428,0.0012339809909462929,2.9802322387695312e-06,0.31436315178871155,common_correct,7749,3
0.01993090659379959,0.012755779549479485,0.0032445716205984354,0.0045371693558990955,0.0,0.4686420261859894,final_ce,2,-0.0034473759587854147,-0.14748868346214294,4,0.005182035733014345,0.002923199674114585,0.01727348566055298,0.0010897933971136808,1.9073486328125e-06,0.32115334272384644,eligible_common_correct,7526,3
0.009756657294929028,0.004935720935463905,0.010047517716884613,0.0017867202404886484,1.3947486877441406e-05,0.2930440902709961,final_ce,3,-0.001188744034152478,-0.0486685186624527,4,0.003099173540249467,0.0014921947149559855,0.022714897990226746,0.0005979762063361704,1.4424324035644531e-05,0.2443755716085434,common_correct,8712,4
0.009284286759793758,0.004465859849005938,0.006814784370362759,0.0016594021581113338,1.1622905731201172e-05,0.29721471667289734,final_ce,3,-0.001074399973731488,-0.048066750168800354,4,0.002938065677881241,0.0014102715067565441,0.016291668638586998,0.0005850021843798459,1.0967254638671875e-05,0.24914796650409698,eligible_common_correct,8509,4
0.0038147715386003256,0.001377556473016739,0.006279636640101671,0.0008169253706000745,3.6954879760742188e-06,0.3529723286628723,final_ce,4,-0.00018353090854361653,0.013881534337997437,4,0.0026491470634937286,0.0018014198867604136,0.01268744096159935,0.000633394462056458,1.9073486328125e-06,0.36685386300086975,common_correct,9437,5
0.003652379382401705,0.001289075124077499,0.004456209484487772,0.0007982678944244981,3.337860107421875e-06,0.3565366864204407,final_ce,4,-0.00021226797252893448,0.014179825782775879,4,0.0022558814380317926,0.0015039208810776472,0.009299551136791706,0.0005859999218955636,1.5497207641601562e-06,0.37071651220321655,eligible_common_correct,9309,5
0.008823228068649769,0.004103826824575663,0.0016967230476439,0.0016832307446748018,-3.5762786865234375e-07,0.5474504828453064,final_ce,5,-1.1041993275284767e-06,0.002462327480316162,4,0.008310249075293541,0.004719400778412819,0.002494102343916893,0.0016821265453472733,-3.5762786865234375e-07,0.5499128103256226,common_correct,9747,6
0.007745533250272274,0.003304760903120041,0.0011420666705816984,0.0014889012090861797,-3.5762786865234375e-07,0.5492099523544312,final_ce,5,-6.520457100123167e-05,0.0024785995483398438,4,0.006816069595515728,0.0036145823542028666,0.0019186973804607987,0.001423696638084948,-3.5762786865234375e-07,0.551688551902771,eligible_common_correct,9683,6
0.008670815266668797,0.004080383572727442,0.0009375475347042084,0.0017612905940040946,0.0,0.49811282753944397,final_ce,6,-0.00026628049090504646,-0.009384900331497192,4,0.0072426809929311275,0.0035703356843441725,0.0018068010685965419,0.0014950101030990481,0.0,0.4887279272079468,common_correct,9803,7
0.0074772099032998085,0.003584963735193014,0.0008541311253793538,0.001525102648884058,0.0,0.4984123706817627,final_ce,6,-0.00025169807486236095,-0.00952574610710144,4,0.006145651917904615,0.002560688415542245,0.0016845713835209608,0.001273404574021697,0.0,0.48888662457466125,eligible_common_correct,9763,7
0.012497459538280964,0.005689900368452072,-0.000879446801263839,0.002221042988821864,-1.3113021850585938e-06,0.569396436214447,final_ce,7,-0.0004932763986289501,-0.027027010917663574,4,0.009449298493564129,0.004369030706584454,-0.00010447100066812709,0.001727766590192914,-4.76837158203125e-07,0.5423694252967834,common_correct,9842,8
0.010513422079384327,0.003980810288339853,-0.0007394293206743896,0.0018658263143151999,-1.3113021850585938e-06,0.5695621371269226,final_ce,7,-0.0004019102780148387,-0.027151167392730713,4,0.00775747699663043,0.0033683781512081623,-0.00020501381368376315,0.0014639160363003612,-4.76837158203125e-07,0.5424109697341919,eligible_common_correct,9797,8
0.01927073486149311,0.014925372786819935,0.012088277377188206,0.0063715288415551186,6.9141387939453125e-06,0.23918382823467255,final_ce,1,-0.003984467359259725,-0.04987719655036926,5,0.00831286609172821,0.006234649568796158,0.03190109133720398,0.002387061482295394,7.271766662597656e-06,0.18930663168430328,common_correct,5293,2
0.01844584010541439,0.0141287287697196,0.006867533084005117,0.006004387978464365,5.0067901611328125e-06,0.24175824224948883,final_ce,1,-0.0036739292554557323,-0.04846939444541931,5,0.008045526221394539,0.006083202548325062,0.021304655820131302,0.0023304587230086327,4.291534423828125e-06,0.19328884780406952,eligible_common_correct,5096,2
0.020618556067347527,0.013481363654136658,0.005495826713740826,0.004528873600065708,0.0,0.42135870456695557,final_ce,2,-0.0030580731108784676,-0.08168119192123413,5,0.006740681827068329,0.004758128430694342,0.02586326003074646,0.0014708004891872406,3.4570693969726562e-06,0.33967751264572144,common_correct,7566,3
0.018342390656471252,0.011548913083970547,0.003429610747843981,0.003990608267486095,0.0,0.42486414313316345,final_ce,2,-0.002667121705599129,-0.0788043737411499,5,0.005842391401529312,0.004211956635117531,0.018480945378541946,0.0013234865618869662,1.9073486328125e-06,0.34605976939201355,eligible_common_correct,7360,3
0.005530591122806072,0.0032261782325804234,0.013716647401452065,0.0010568301659077406,1.2278556823730469e-05,0.25555938482284546,final_ce,3,-0.00046336016384884715,-0.02546374499797821,5,0.0025348542258143425,0.001382647780701518,0.022082721814513206,0.0005934700020588934,3.0159950256347656e-05,0.23009563982486725,common_correct,8679,4
0.005542452912777662,0.0031839623115956783,0.00944370124489069,0.0010595263447612524,9.5367431640625e-06,0.2608490586280823,final_ce,3,-0.0004793668631464243,-0.027004718780517578,5,0.002476415131241083,0.0014150943607091904,0.016022449359297752,0.0005801594816148281,2.47955322265625e-05,0.2338443398475647,eligible_common_correct,8480,4
0.004214074928313494,0.001896333764307201,0.007664934266358614,0.0007728916243650019,2.0265579223632812e-06,0.3619890511035919,final_ce,4,-0.00020289781969040632,-0.010535180568695068,5,0.0027391486801207066,0.001580278156325221,0.011236506514251232,0.0005699938046745956,3.814697265625e-06,0.35145387053489685,common_correct,9492,5
0.003625120036303997,0.0014926964649930596,0.005853499285876751,0.0006388393812812865,1.7881393432617188e-06,0.3649642765522003,final_ce,4,-0.00012539455201476812,-0.010555505752563477,5,0.0023456658236682415,0.0012794540962204337,0.008690019138157368,0.0005134448292665184,3.4570693969726562e-06,0.35440877079963684,eligible_common_correct,9379,5
0.011901097372174263,0.005437570624053478,0.0005810103029944003,0.0022703520953655243,-4.76837158203125e-07,0.5555555820465088,final_ce,5,-0.0011583020677790046,0.0005129575729370117,5,0.005437570624053478,0.0025648917071521282,0.00277624255977571,0.0011120500275865197,-4.76837158203125e-07,0.5560685396194458,common_correct,9747,6
0.011050294153392315,0.004853867460042238,0.00016660620167385787,0.0020870943553745747,-4.76837158203125e-07,0.5571620464324951,final_ce,5,-0.0010799954179674387,0.0009294748306274414,5,0.004544046241790056,0.002272023120895028,0.0020342401694506407,0.001007098937407136,-4.76837158203125e-07,0.5580915212631226,eligible_common_correct,9683,6
