comparison,macro_matched_regression_difference,macro_mean_drop_magnitude_difference,probability_drop_fraction_difference,seed
final_ce,-0.1591874773035682,-0.0022315983785249826,-0.15300948598555156,3
final_ce,-0.11899070979893686,-0.0015034766235787953,-0.04422779381275177,4
final_ce,-0.0932364382196709,-0.0012248456228657492,-0.028550609946250916,5
symmetric_kl,0.0275093972709337,-0.00010027721457715546,-0.30321291940552847,3
symmetric_kl,0.006987983032428126,-0.0003101149174783911,-0.29403390841824667,4
symmetric_kl,0.04416408065854203,0.00026178139627778104,-0.28038257573332104,5
