bin,comparator_regression_count,comparator_regression_rate,comparison,from_t,interpretable,paired_difference,seed,selective_regression_count,selective_regression_rate,support_count,to_t
"[0.8,0.9)",,nan,final_ce,4,False,nan,4,,nan,22,5
"[0.9,1.000001)",,0.011437721605856113,final_ce,4,True,-0.011437721605856113,4,,0.0,8743,5
eligible>=0.6,3,0.03098213363626975,final_ce,5,True,0.02065475575751317,4,5,0.05163688939378292,9683,6
"[0.0,0.4)",,nan,final_ce,5,False,nan,4,,nan,0,6
"[0.4,0.6)",,nan,final_ce,5,False,nan,4,,nan,4,6
"[0.6,0.8)",,nan,final_ce,5,False,nan,4,,nan,23,6
"[0.8,0.9)",,nan,final_ce,5,False,nan,4,,nan,10,6
"[0.9,1.000001)",,0.0,final_ce,5,True,0.0,4,,0.0,9325,6
eligible>=0.6,4,0.04097101300829663,final_ce,6,True,0.0,4,4,0.04097101300829663,9763,7
"[0.0,0.4)",,nan,final_ce,6,False,nan,4,,nan,0,7
"[0.4,0.6)",,nan,final_ce,6,False,nan,4,,nan,4,7
"[0.6,0.8)",,nan,final_ce,6,False,nan,4,,nan,11,7
"[0.8,0.9)",,nan,final_ce,6,False,nan,4,,nan,31,7
"[0.9,1.000001)",,0.010576414595452142,final_ce,6,True,-0.010576414595452142,4,,0.0,9455,7
eligible>=0.6,5,0.051036031438195364,final_ce,7,True,-0.051036031438195364,4,0,0.0,9797,8
"[0.0,0.4)",,nan,final_ce,7,False,nan,4,,nan,0,8
"[0.4,0.6)",,nan,final_ce,7,False,nan,4,,nan,4,8
"[0.6,0.8)",,nan,final_ce,7,False,nan,4,,nan,20,8
"[0.8,0.9)",,nan,final_ce,7,False,nan,4,,nan,19,8
"[0.9,1.000001)",,0.0,final_ce,7,True,0.0,4,,0.0,9568,8
eligible>=0.6,28,0.5494505494505495,final_ce,1,True,-0.3139717425431712,5,12,0.23547880690737832,5096,2
"[0.0,0.4)",,nan,final_ce,1,False,nan,5,,nan,0,2
"[0.4,0.6)",,nan,final_ce,1,False,nan,5,,nan,7,2
"[0.6,0.8)",,nan,final_ce,1,False,nan,5,,nan,18,2
"[0.8,0.9)",,nan,final_ce,1,False,nan,5,,nan,13,2
"[0.9,1.000001)",,0.24909420289855072,final_ce,1,True,-0.18115942028985507,5,,0.06793478260869565,4416,2
eligible>=0.6,17,0.23097826086956522,final_ce,2,True,-0.1358695652173913,5,7,0.09510869565217392,7360,3
"[0.0,0.4)",,nan,final_ce,2,False,nan,5,,nan,0,3
"[0.4,0.6)",,nan,final_ce,2,False,nan,5,,nan,7,3
"[0.6,0.8)",,nan,final_ce,2,False,nan,5,,nan,35,3
"[0.8,0.9)",,nan,final_ce,2,False,nan,5,,nan,23,3
"[0.9,1.000001)",,0.015379883112888341,final_ce,2,True,-0.015379883112888341,5,,0.0,6502,3
eligible>=0.6,2,0.02358490566037736,final_ce,3,True,-0.01179245283018868,5,1,0.01179245283018868,8480,4
"[0.0,0.4)",,nan,final_ce,3,False,nan,5,,nan,0,4
"[0.4,0.6)",,nan,final_ce,3,False,nan,5,,nan,9,4
"[0.6,0.8)",,nan,final_ce,3,False,nan,5,,nan,33,4
"[0.8,0.9)",,nan,final_ce,3,False,nan,5,,nan,29,4
"[0.9,1.000001)",,0.0,final_ce,3,True,0.0,5,,0.0,7613,4
eligible>=0.6,0,0.0,final_ce,4,True,0.010662117496534812,5,1,0.010662117496534812,9379,5
"[0.0,0.4)",,nan,final_ce,4,False,nan,5,,nan,0,5
"[0.4,0.6)",,nan,final_ce,4,False,nan,5,,nan,7,5
"[0.6,0.8)",,nan,final_ce,4,False,nan,5,,nan,32,5
"[0.8,0.9)",,nan,final_ce,4,False,nan,5,,nan,25,5
"[0.9,1.000001)",,0.0,final_ce,4,True,0.0,5,,0.0,8819,5
eligible>=0.6,5,0.05163688939378292,final_ce,5,True,-0.041309511515026334,5,1,0.010327377878756584,9683,6
"[0.0,0.4)",,nan,final_ce,5,False,nan,5,,nan,0,6
"[0.4,0.6)",,nan,final_ce,5,False,nan,5,,nan,2,6
"[0.6,0.8)",,nan,final_ce,5,False,nan,5,,nan,17,6
"[0.8,0.9)",,nan,final_ce,5,False,nan,5,,nan,15,6
"[0.9,1.000001)",,0.0,final_ce,5,True,0.0,5,,0.0,9346,6
eligible>=0.6,2,0.02053177291859152,final_ce,6,True,-0.02053177291859152,5,0,0.0,9741,7
"[0.0,0.4)",,nan,final_ce,6,False,nan,5,,nan,0,7
"[0.4,0.6)",,nan,final_ce,6,False,nan,5,,nan,6,7
"[0.6,0.8)",,nan,final_ce,6,False,nan,5,,nan,32,7
"[0.8,0.9)",,nan,final_ce,6,False,nan,5,,nan,21,7
"[0.9,1.000001)",,0.0,final_ce,6,True,0.0,5,,0.0,9439,7
eligible>=0.6,2,0.020374898125509373,final_ce,7,True,0.010187449062754685,5,3,0.030562347188264057,9816,8
"[0.0,0.4)",,nan,final_ce,7,False,nan,5,,nan,0,8
"[0.4,0.6)",,nan,final_ce,7,False,nan,5,,nan,5,8
"[0.6,0.8)",,nan,final_ce,7,False,nan,5,,nan,35,8
"[0.8,0.9)",,nan,final_ce,7,False,nan,5,,nan,27,8
"[0.9,1.000001)",,0.0,final_ce,7,True,0.0,5,,0.0,9586,8
eligible>=0.6,1,0.018480872297172428,symmetric_kl,1,True,0.129366106080207,3,8,0.14784697837737942,5411,2
"[0.0,0.4)",,nan,symmetric_kl,1,False,nan,3,,nan,0,2
"[0.4,0.6)",,nan,symmetric_kl,1,False,nan,3,,nan,0,2
"[0.6,0.8)",,nan,symmetric_kl,1,False,nan,3,,nan,0,2
"[0.8,0.9)",,nan,symmetric_kl,1,False,nan,3,,nan,1,2
"[0.9,1.000001)",,0.02072538860103627,symmetric_kl,1,True,0.0,3,,0.02072538860103627,4825,2
eligible>=0.6,4,0.05420054200542006,symmetric_kl,2,True,0.0,3,4,0.05420054200542006,7380,3
"[0.0,0.4)",,nan,symmetric_kl,2,False,nan,3,,nan,0,3
"[0.4,0.6)",,nan,symmetric_kl,2,False,nan,3,,nan,0,3
"[0.6,0.8)",,nan,symmetric_kl,2,False,nan,3,,nan,4,3
"[0.8,0.9)",,nan,symmetric_kl,2,False,nan,3,,nan,3,3
