common_correct_support,common_wrong_support,comparator_matched_recovery_count,comparator_matched_recovery_rate,comparison,eligible_common_correct_support,eligible_common_correct_total_support,eligible_micro_regression_difference,macro_matched_regression_difference,macro_mean_drop_magnitude_difference,micro_matched_recovery_difference,micro_matched_regression_difference,micro_mean_drop_magnitude_difference,probability_drop_fraction_difference,recovery_preservation_ratio,seed,selective_matched_recovery_count,selective_matched_recovery_rate,valid_eligible_transition_count,valid_regression_transition_count
59828,3147,1516,48.17286304416905,final_ce,58982,58982,-0.10681224780441492,-0.1591874773035682,-0.0022315983785249826,-26.215443279313632,-0.130373738049074,-0.001883743833076333,-0.15300948598555156,0.4558047493403694,3,691,21.957419764855416,7,7
60970,3788,1775,46.858500527983104,final_ce,60058,60058,-0.07825768423856938,-0.11899070979893686,-0.0015034766235787953,-14.36114044350581,-0.09020829916352305,-0.0012313339608496967,-0.04422779381275177,0.6935211267605634,4,1231,32.49736008447729,7,7
60428,4379,2150,49.09796757250514,final_ce,59555,59555,-0.05205272437242885,-0.0932364382196709,-0.0012248456228657492,-14.501027631879424,-0.06950420334944066,-0.0009695132185537769,-0.028550609946250916,0.7046511627906977,5,1515,34.59693994062572,7,7
60251,779,152,19.51219512195122,symmetric_kl,59487,59487,0.015129355993746537,0.0275093972709337,-0.00010027721457715546,-9.884467265725288,0.019916681880798662,-0.00013941262365852407,-0.30321291940552847,0.4934210526315789,3,75,9.627727856225931,7,7
61873,794,147,18.513853904282115,symmetric_kl,60997,60997,-0.003278849779497356,0.006987983032428126,-0.0003101149174783911,-8.690176322418136,0.004848641572252843,-0.0002987693852471333,-0.29403390841824667,0.5306122448979592,4,78,9.82367758186398,7,7
61520,841,147,17.479191438763376,symmetric_kl,60746,60746,0.011523392486748097,0.04416408065854203,0.00026178139627778104,-5.945303210463733,0.03901170351105331,0.00020104670497544607,-0.28038257573332104,0.6598639455782312,5,97,11.533888228299643,7,7
