Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Earliest Correct Oracle,,,76.13636255264282,3.2007575035095215,0.4000946879386902,23.863637447357178,264
Earliest Stable Correct Oracle,,,62.12121248245239,4.25,0.53125,37.87878751754761,264
Cost-Aware Oracle,,0.0,76.13636255264282,1.5303030014038086,0.19128787517547607,23.863637447357178,264
Cost-Aware Oracle,,0.5,76.13636255264282,1.5303030014038086,0.19128787517547607,23.863637447357178,264
Cost-Aware Oracle,,1.0,76.13636255264282,1.5303030014038086,0.19128787517547607,23.863637447357178,264
Cost-Aware Oracle,,1.1,76.13636255264282,1.5303030014038086,0.19128787517547607,23.863637447357178,264
Cost-Aware Oracle,,1.15,75.75757503509521,1.503787875175476,0.1879734843969345,24.242424964904785,264
Cost-Aware Oracle,,1.25,75.75757503509521,1.503787875175476,0.1879734843969345,24.242424964904785,264
Cost-Aware Oracle,,1.35,75.0,1.4583333730697632,0.1822916716337204,25.0,264
Cost-Aware Oracle,,1.5,75.0,1.4583333730697632,0.1822916716337204,25.0,264
Cost-Aware Oracle,,1.6,74.24242496490479,1.420454502105713,0.1775568127632141,25.757575035095215,264
Cost-Aware Oracle,,1.75,74.24242496490479,1.420454502105713,0.1775568127632141,25.757575035095215,264
Cost-Aware Oracle,,2.0,72.72727489471436,1.3598484992980957,0.16998106241226196,27.272725105285645,264
Cost-Aware Oracle,,2.25,72.72727489471436,1.3598484992980957,0.16998106241226196,27.272725105285645,264
Cost-Aware Oracle,,2.5,72.72727489471436,1.3598484992980957,0.16998106241226196,27.272725105285645,264
Cost-Aware Oracle,,2.75,70.45454382896423,1.2916666269302368,0.1614583283662796,29.545456171035767,264
Cost-Aware Oracle,,3.0,70.45454382896423,1.2916666269302368,0.1614583283662796,29.545456171035767,264
Cost-Aware Oracle,,3.5,70.45454382896423,1.2916666269302368,0.1614583283662796,29.545456171035767,264
Cost-Aware Oracle,,4.0,61.742424964904785,1.1174242496490479,0.13967803120613098,38.257575035095215,264
Cost-Aware Oracle,,5.0,61.742424964904785,1.1174242496490479,0.13967803120613098,38.257575035095215,264
Cost-Aware Oracle,,6.0,61.742424964904785,1.1174242496490479,0.13967803120613098,38.257575035095215,264
Cost-Aware Oracle,,7.0,61.742424964904785,1.1174242496490479,0.13967803120613098,38.257575035095215,264
Cost-Aware Oracle,,8.0,50.0,1.0,0.125,50.0,264
Cost-Aware Oracle,,16.0,50.0,1.0,0.125,50.0,264
