Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Confidence,0.5,,53.03030014038086,1.375,0.171875,46.96969985961914,264
Confidence,0.55,,54.54545617103577,1.5643939971923828,0.19554924964904785,45.45454382896423,264
Confidence,0.6,,54.924243688583374,1.7613636255264282,0.22017045319080353,45.075756311416626,264
Confidence,0.65,,56.81818127632141,2.1628787517547607,0.2703598439693451,43.18181872367859,264
Confidence,0.7,,56.81818127632141,2.5303030014038086,0.3162878751754761,43.18181872367859,264
Confidence,0.75,,57.95454382896423,3.071969747543335,0.38399621844291687,42.04545617103577,264
Confidence,0.8,,62.12121248245239,3.696969747543335,0.46212121844291687,37.87878751754761,264
Confidence,0.85,,62.5,4.359848499298096,0.544981062412262,37.5,264
Confidence,0.9,,60.98484992980957,5.2727274894714355,0.6590909361839294,39.01515007019043,264
Confidence,0.92,,61.36363744735718,5.526515007019043,0.6908143758773804,38.63636255264282,264
Confidence,0.94,,61.742424964904785,5.829545497894287,0.7286931872367859,38.257575035095215,264
Confidence,0.95,,62.12121248245239,6.1022725105285645,0.7627840638160706,37.87878751754761,264
Confidence,0.96,,62.12121248245239,6.306818008422852,0.7883522510528564,37.87878751754761,264
Confidence,0.97,,62.12121248245239,6.609848499298096,0.826231062412262,37.87878751754761,264
Confidence,0.98,,62.12121248245239,7.083333492279053,0.8854166865348816,37.87878751754761,264
Confidence,0.985,,62.12121248245239,7.310606002807617,0.9138257503509521,37.87878751754761,264
Confidence,0.99,,62.12121248245239,7.511363506317139,0.9389204382896423,37.87878751754761,264
Confidence,0.995,,62.12121248245239,7.723484992980957,0.9654356241226196,37.87878751754761,264
Confidence,0.997,,62.12121248245239,7.806818008422852,0.9758522510528564,37.87878751754761,264
Confidence,0.999,,62.12121248245239,7.973484992980957,0.9966856241226196,37.87878751754761,264
Confidence,0.9995,,62.12121248245239,8.0,1.0,37.87878751754761,264
Confidence,0.9999,,62.12121248245239,8.0,1.0,37.87878751754761,264
