Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Confidence Stability,0.5,,59.84848737716675,2.6212120056152344,0.3276515007019043,40.15151262283325,264
Confidence Stability,0.55,,60.98484992980957,2.784090995788574,0.3480113744735718,39.01515007019043,264
Confidence Stability,0.6,,61.742424964904785,3.007575750350952,0.375946968793869,38.257575035095215,264
Confidence Stability,0.65,,61.742424964904785,3.3371212482452393,0.4171401560306549,38.257575035095215,264
Confidence Stability,0.7,,62.87878751754761,3.6818182468414307,0.46022728085517883,37.12121248245239,264
Confidence Stability,0.75,,61.36363744735718,4.185606002807617,0.5232007503509521,38.63636255264282,264
Confidence Stability,0.8,,62.12121248245239,4.51893949508667,0.5648674368858337,37.87878751754761,264
Confidence Stability,0.85,,62.87878751754761,4.946969509124756,0.6183711886405945,37.12121248245239,264
Confidence Stability,0.9,,62.12121248245239,5.670454502105713,0.7088068127632141,37.87878751754761,264
Confidence Stability,0.92,,62.12121248245239,5.946969509124756,0.7433711886405945,37.87878751754761,264
Confidence Stability,0.94,,62.12121248245239,6.181818008422852,0.7727272510528564,37.87878751754761,264
Confidence Stability,0.95,,62.12121248245239,6.39393949508667,0.7992424368858337,37.87878751754761,264
Confidence Stability,0.96,,62.12121248245239,6.640151500701904,0.830018937587738,37.87878751754761,264
Confidence Stability,0.97,,62.12121248245239,6.844696998596191,0.8555871248245239,37.87878751754761,264
Confidence Stability,0.98,,62.12121248245239,7.223484992980957,0.9029356241226196,37.87878751754761,264
Confidence Stability,0.985,,62.12121248245239,7.469696998596191,0.9337121248245239,37.87878751754761,264
Confidence Stability,0.99,,62.12121248245239,7.632575988769531,0.9540719985961914,37.87878751754761,264
Confidence Stability,0.995,,62.12121248245239,7.8522725105285645,0.9815340638160706,37.87878751754761,264
Confidence Stability,0.997,,62.12121248245239,7.89393949508667,0.9867424368858337,37.87878751754761,264
Confidence Stability,0.999,,62.12121248245239,8.0,1.0,37.87878751754761,264
Confidence Stability,0.9995,,62.12121248245239,8.0,1.0,37.87878751754761,264
Confidence Stability,0.9999,,62.12121248245239,8.0,1.0,37.87878751754761,264
